count,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text_33.started,text_33.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,sound_1.started,sound_1.stopped,pic1.started,pic1.stopped,ISI.started,ISI.stopped,story_presses.keys,story_presses.rt,story_presses.started,story_presses.stopped,image_2.started,image_2.stopped,text_34.started,text_34.stopped,text_35.started,text_35.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,,0,0,0,0,0,0,0,0,,,,,[11 43 23 42 34 14 22 31 21 24 33 13 44 41 12 32],"['Social' 'Location' 'Social' 'Social' 'Social' 'Location' 'Location'
 'Location' 'Location' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Location']",[21 24 33 13 44 41 12 32],"['Location' 'Social' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Location']",11.863245487998938,None,space,0.40152039699751185,11.863245487998938,None,11.863245487998938,None,12.301928713000962,None,space,0.44323557399911806,12.301928713000962,None,13.013389257997915,None,13.013389257997915,None,13.013389257997915,None,13.46324474800349,None,space,0.47077167200041004,13.46324474800349,None,14.313248837999708,None,14.313248837999708,None,14.313248837999708,None,14.313248837999708,None,14.313248837999708,None,14.313248837999708,None,14.313248837999708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,2019_Sep_26_1230,body_behavioural,3.2.1,59.88845284434548,
0,parcelated_audio/11/11_1.wav,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,15.96333317799872,None,15.96333317799872,None,15.96333317799872,None,,,,,,,,,,,,,,,,,,,,,15.630295643000863,None,space,0.25653413200052455,15.630295643000863,None,16.381316865998087,None,space,0.5274409870035015,16.381316865998087,None,17.581288574199426,None,17.063950495998142,None,0.010174755203479435,None,9,5.950379257999884,29.547913852999045,None,29.547913852999045,None,29.547913852999045,None,29.547913852999045,None,l,001,2019_Sep_26_1230,body_behavioural,3.2.1,59.88845284434548,
0,parcelated_audio/11/11_2.wav,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.099588316197334,None,35.582570726000995,None,0.0099689382041106,None,9,1.0432359679980436,40.5657755659995,None,40.5657755659995,None,40.5657755659995,None,40.5657755659995,None,l,001,2019_Sep_26_1230,body_behavioural,3.2.1,59.88845284434548,
0,parcelated_audio/11/11_3.wav,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.199807379199775,None,41.68290858800174,None,-0.0006336438018479384,None,9,0.8968254979990888,47.182038282000576,None,47.182038282000576,None,47.182038282000576,None,47.182038282000576,None,l,001,2019_Sep_26_1230,body_behavioural,3.2.1,59.88845284434548,
0,parcelated_audio/11/11_4.wav,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.683659744203034,None,48.16629489800107,None,0.0099139392041252,None,9,7.169985044005443,57.767024895998475,None,57.767024895998475,None,57.767024895998475,None,57.767024895998475,None,l,001,2019_Sep_26_1230,body_behavioural,3.2.1,59.88845284434548,
0,parcelated_audio/11/11_5.wav,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5509173362021,None,65.03402026800177,None,0.014522748198942281,None,9,1.0126019769959385,71.28527496100287,None,71.28527496100287,None,71.28527496100287,None,71.28527496100287,None,l,001,2019_Sep_26_1230,body_behavioural,3.2.1,59.88845284434548,
0,parcelated_audio/11/11_6.wav,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.90133971120085,None,72.3847914959988,None,0.012937220191815868,None,9,0.6429263780009933,77.46803870800068,None,77.46803870800068,None,77.46803870800068,None,77.46803870800068,None,l,001,2019_Sep_26_1230,body_behavioural,3.2.1,59.88845284434548,
0,parcelated_audio/11/11_7.wav,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.68570673620124,None,78.18537876600021,None,0.0010402461994090118,None,9,3.3393308320009965,85.21856862599816,None,85.21856862599816,None,85.21856862599816,None,85.21856862599816,None,l,001,2019_Sep_26_1230,body_behavioural,3.2.1,59.88845284434548,
0,parcelated_audio/11/11_8.wav,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.16970364620065,None,88.65256806599791,None,0.005422653201094363,None,9,1.7455544849945,94.93618237299961,None,94.93618237299961,None,94.93618237299961,None,94.93618237299961,None,l,001,2019_Sep_26_1230,body_behavioural,3.2.1,59.88845284434548,
0,parcelated_audio/11/11_9.wav,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.26992102919903,None,96.7531017079964,None,0.0004935342076350935,None,9,0.5561654249977437,101.55331108300015,None,101.55331108300015,None,101.55331108300015,None,101.55331108300015,None,l,001,2019_Sep_26_1230,body_behavioural,3.2.1,59.88845284434548,
