count,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text_33.started,text_33.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,sound_1.started,sound_1.stopped,pic1.started,pic1.stopped,ISI.started,ISI.stopped,story_presses.keys,story_presses.rt,story_presses.started,story_presses.stopped,image_2.started,image_2.stopped,text_34.started,text_34.stopped,text_35.started,text_35.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,parcelated_audio/22/22_10.ogg,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.99354935649717,None,43.47644417999982,None,0.005527250501472736,None,1,0.319673342997703,44.04374918800022,None,44.04374918800022,None,44.04374918800022,None,44.04374918800022,None,l,001,2019_Sep_30_1356,body_behavioural,3.2.1,59.9394510840326,
0,parcelated_audio/22/22_11.ogg,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.02728946349998,None,44.510936427999695,None,0.008961596500739688,None,1,1.1756140300021798,45.07661690999885,None,45.07661690999885,None,45.07661690999885,None,45.07661690999885,None,l,001,2019_Sep_30_1356,body_behavioural,3.2.1,59.9394510840326,
0,parcelated_audio/22/22_12.ogg,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.91080836349829,None,46.394244009999966,None,0.007073686494550202,None,1,0.2891338049994374,46.96016285499718,None,46.96016285499718,None,46.96016285499718,None,46.96016285499718,None,l,001,2019_Sep_30_1356,body_behavioural,3.2.1,59.9394510840326,
0,parcelated_audio/22/22_13.ogg,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.91034582849716,None,47.39363302499987,None,0.01001439249739633,None,1,0.2537003850011388,47.96025210500011,None,47.96025210500011,None,47.96025210500011,None,47.96025210500011,None,l,001,2019_Sep_30_1356,body_behavioural,3.2.1,59.9394510840326,
0,parcelated_audio/22/22_14.ogg,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.86097621149929,None,48.34408514499955,None,0.00798998949903762,None,1,0.0912403029979032,48.91089064999687,None,48.91089064999687,None,48.91089064999687,None,48.91089064999687,None,l,001,2019_Sep_30_1356,body_behavioural,3.2.1,59.9394510840326,
0,parcelated_audio/22/22_15.ogg,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.64458979849769,None,49.12694852799905,None,0.0010173414993914776,None,1,0.015188291999947978,49.693865539997205,None,49.693865539997205,None,49.693865539997205,None,49.693865539997205,None,l,001,2019_Sep_30_1356,body_behavioural,3.2.1,59.9394510840326,
0,parcelated_audio/22/22_16.ogg,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.36031090649885,None,49.843601027998375,None,0.0037330824961827602,None,1,0.37133650800024043,50.39465838799879,None,50.39465838799879,None,50.39465838799879,None,50.39465838799879,None,l,001,2019_Sep_30_1356,body_behavioural,3.2.1,59.9394510840326,
0,parcelated_audio/22/22_17.ogg,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.41093317149898,None,50.89365985800032,None,0.011595936499361414,None,1,0.3560334750000038,51.44378801499988,None,51.44378801499988,None,51.44378801499988,None,51.44378801499988,None,l,001,2019_Sep_30_1356,body_behavioural,3.2.1,59.9394510840326,
0,parcelated_audio/22/22_18.ogg,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.44432462349687,None,51.92725502999747,None,0.008668750495417044,None,1,0.35678531200028374,52.47690826299731,None,52.47690826299731,None,52.47690826299731,None,52.47690826299731,None,l,001,2019_Sep_30_1356,body_behavioural,3.2.1,59.9394510840326,
0,parcelated_audio/22/22_19.ogg,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.47741996649893,None,52.96056190499803,None,0.007613126497744815,None,1,1.0732463899985305,53.52759049999804,None,53.52759049999804,None,53.52759049999804,None,53.52759049999804,None,l,001,2019_Sep_30_1356,body_behavioural,3.2.1,59.9394510840326,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.261273373498625,None,54.744907514999795,None,0.0030507404953823425,None,,,,,,,,,,,,,,,,,
