instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,text_7.started,text_7.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,welcome_2.started,welcome_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,key_resp_19.keys,key_resp_19.rt,key_resp_19.started,key_resp_19.stopped,image_14.started,image_14.stopped,text_24.started,text_24.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,text_25.started,text_25.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.started,key_resp_21.stopped,image_15.started,image_15.stopped,text_26.started,text_26.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_17.started,text_17.stopped,image_10.started,image_10.stopped,text_19.started,text_19.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,image_12.started,image_12.stopped,text_20.started,text_20.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,image_13.started,image_13.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"The sentence will play fully, and, when the sentence has finished playing, you will press a button to advance to the next sentence. ",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,183.03357080201386,None,space,6.692857077985536,183.03357080201386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
"Before listening to each story, you will be assigned one of the eight perspectives to take on while listening to it. ",,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,189.78404660901288,None,space,5.8350595899974,189.78404660901288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
You'll be given a quiz before the story on the 4 questions associated with the assigned perspective. ,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,195.68450218398357,None,space,5.490114276995882,195.68450218398357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
You must pass this quiz to move onto the story. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,201.23483538400615,None,space,12.459958634979557,201.23483538400615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
3,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,213.71906622697134,None,space,1.3077334919944406,213.71906622697134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0524319820106,None,space,9.37710847298149,215.0524319820106,None,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
"You'll be given a blank text box under the image, where you can type out all the details of the story you can remember. ",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,224.5031211739988,None,space,6.454000947007444,224.5031211739988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0524319820106,None,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,231.02028235199396,None,space,3.129203377990052,231.02028235199396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
4,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,234.17046196898445,None,space,1.5559157120296732,234.17046196898445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,235.78720229200553,None,space,2.661005864967592,235.78720229200553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.47074248397257,None,space,6.453590190038085,238.47074248397257,None,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
You'll type your answers to the questions in a text box.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,245.0045425290009,None,space,2.83375937002711,245.0045425290009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.47074248397257,None,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
