count,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text_33.started,text_33.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,sound_1.started,sound_1.stopped,pic1.started,pic1.stopped,ISI.started,ISI.stopped,story_presses.keys,story_presses.rt,story_presses.started,story_presses.stopped,image_2.started,image_2.stopped,text_34.started,text_34.stopped,text_35.started,text_35.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,,0,0,0,0,0,0,0,0,,,,,[44 31 23 12 13 22 41 34 14 11 43 42 32 21 24 33],"['Social' 'Social' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Location']",[14 11 43 42 32 21 24 33],"['Social' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location']",12.437266266002553,None,space,0.3424274310018518,12.437266266002553,None,12.437266266002553,None,12.803972294001142,None,space,0.30776492100267205,12.803972294001142,None,13.370815117006714,None,13.370815117006714,None,13.370815117006714,None,13.62049243200454,None,space,0.568080666998867,13.62049243200454,None,14.537209967005765,None,14.537209967005765,None,14.537209967005765,None,14.537209967005765,None,14.537209967005765,None,14.537209967005765,None,14.537209967005765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pol,001,2019_Sep_26_1246,body_behavioural,3.2.1,60.29360925698012,
0,parcelated_audio/44/44_1.wav,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,42.656692530006694,None,42.656692530006694,None,42.656692530006694,None,,,,,,,,,,,,,,,,,,,,,42.122499295001035,None,space,0.4555759529976058,42.122499295001035,None,43.10668073200213,None,space,0.8894060050006374,43.10668073200213,None,44.639879507805745,None,44.12256909200369,None,0.0013948477935628034,None,9,0.5469908880040748,52.5569698870022,None,52.5569698870022,None,52.5569698870022,None,52.5569698870022,None,pol,001,2019_Sep_26_1246,body_behavioural,3.2.1,60.29360925698012,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.707604497802095,None,53.19069117199979,None,-0.0006311382021522149,None,,,,,,,,,,,,,,,,,
