count,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text_33.started,text_33.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,sound_1.started,sound_1.stopped,pic1.started,pic1.stopped,story_presses.keys,story_presses.rt,story_presses.started,story_presses.stopped,image_2.started,image_2.stopped,text_34.started,text_34.stopped,text_35.started,text_35.stopped,text.started,text.stopped,text_52.started,text_52.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,parcelated_audio/11/11_9.aiff,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.00870762479025,None,244.0082268799888,None,1,4.218080231978092,248.27498319000006,None,248.27498319000006,None,248.27498319000006,None,248.27498319000006,None,,,,,,,,,092419_p2,001,2019_Sep_24_1613,body_behavioural,3.2.1,60.0992678920452,
0,parcelated_audio/11/11_10.aiff,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.59274167781695,None,252.59244437300367,None,9,10.779599127010442,257.17676470498554,None,257.17676470498554,None,257.17676470498554,None,257.17676470498554,None,,,,,,,,,092419_p2,001,2019_Sep_24_1613,body_behavioural,3.2.1,60.0992678920452,
0,parcelated_audio/11/11_11.aiff,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.0442335848231,None,268.0443151000072,None,1,2.406598102010321,271.2103375250008,None,271.2103375250008,None,271.2103375250008,None,271.2103375250008,None,,,,,,,,,092419_p2,001,2019_Sep_24_1613,body_behavioural,3.2.1,60.0992678920452,
0,parcelated_audio/11/11_12.aiff,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.7099961577798,None,273.7109031029977,None,9,5.265531854995061,276.52773659001105,None,276.52773659001105,None,276.52773659001105,None,276.52773659001105,None,,,,,,,,,092419_p2,001,2019_Sep_24_1613,body_behavioural,3.2.1,60.0992678920452,
0,parcelated_audio/11/11_13.aiff,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.8782573778182,None,281.8782410250278,None,1,3.237117078038864,285.1782467379817,None,285.1782467379817,None,285.1782467379817,None,285.1782467379817,None,,,,,,,,,092419_p2,001,2019_Sep_24_1613,body_behavioural,3.2.1,60.0992678920452,
0,parcelated_audio/11/11_14.aiff,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.51114541977876,None,288.51102935301606,None,1,3.3094039810239337,291.19474036298925,None,291.19474036298925,None,291.19474036298925,None,291.19474036298925,None,,,,,,,,,092419_p2,001,2019_Sep_24_1613,body_behavioural,3.2.1,60.0992678920452,
0,parcelated_audio/11/11_15.aiff,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.5951241497998,None,294.5950043600169,None,9,6.147579632000998,305.77918405499076,None,305.77918405499076,None,305.77918405499076,None,305.77918405499076,None,,,,,,,,,092419_p2,001,2019_Sep_24_1613,body_behavioural,3.2.1,60.0992678920452,
0,parcelated_audio/11/11_16.aiff,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.01260564981493,None,312.01352764002513,None,1,2.384945775032975,315.0129932250129,None,315.0129932250129,None,315.0129932250129,None,315.0129932250129,None,,,,,,,,,092419_p2,001,2019_Sep_24_1613,body_behavioural,3.2.1,60.0992678920452,
0,parcelated_audio/11/11_17.aiff,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.4967500378145,None,317.49646131001646,None,1,1.2347917309962213,324.4476535730064,None,324.4476535730064,None,324.4476535730064,None,324.4476535730064,None,,,,,,,,,092419_p2,001,2019_Sep_24_1613,body_behavioural,3.2.1,60.0992678920452,
0,parcelated_audio/11/11_18.aiff,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.79791406278963,None,325.79756642802386,None,1,5.952136830019299,333.2643838400254,None,333.2643838400254,None,333.2643838400254,None,333.2643838400254,None,,,,,,,,,092419_p2,001,2019_Sep_24_1613,body_behavioural,3.2.1,60.0992678920452,
