count,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text_33.started,text_33.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,pic1.started,pic1.stopped,story_presses.keys,story_presses.rt,story_presses.started,story_presses.stopped,image_2.started,image_2.stopped,text_34.started,text_34.stopped,text_35.started,text_35.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,,0,0,0,0,0,0,0,0,,,,,[22 33 22 44 21 43 13 31],"['Location' 'Social' 'Location' 'Location' 'Social' 'Location' 'Social'
 'Social']",10.707480452998425,None,space,0.5400184329992044,10.707480452998425,None,10.707480452998425,None,11.274255574997369,None,space,0.27613080499941134,11.274255574997369,None,11.823584159999882,None,11.823584159999882,None,11.823584159999882,None,12.241032477999397,None,space,0.3872966130002169,12.241032477999397,None,12.974301079997531,None,12.974301079997531,None,12.974301079997531,None,12.974301079997531,None,12.974301079997531,None,12.974301079997531,None,12.974301079997531,None,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Sep_30_1437,body_behavioural,3.2.1,60.00900663237744,
0,parcelated_audio/22/22_1.ogg,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1588.0332557799993,None,1588.0332557799993,None,1588.0332557799993,None,,,,,,,,,,,,,,,,,,,,,1587.6498303399967,None,space,0.3149155099999916,1587.6498303399967,None,1588.515868442999,None,space,0.72173020399714,1588.515868442999,None,None,None,1,1.100263618001918,1602.6519021229979,None,1602.6519021229979,None,1602.6519021229979,None,1602.6519021229979,None,',001,2019_Sep_30_1437,body_behavioural,3.2.1,60.00900663237744,
