count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,audio,order of stories,order of perspectives,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text_33.started,text_33.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,,,,,,[22 33 22 44 21 43 13 31],"['Location' 'Social' 'Location' 'Location' 'Social' 'Location' 'Social'
 'Social']",10.963746045003063,None,space,0.4412319189941627,10.963746045003063,None,10.963746045003063,None,11.429869860003237,None,space,0.2958255729972734,11.429869860003237,None,12.012341380002908,None,12.012341380002908,None,12.012341380002908,None,12.41238274200441,None,space,0.39230884599965066,12.41238274200441,None,13.163400735000323,None,13.163400735000323,None,13.163400735000323,None,13.163400735000323,None,13.163400735000323,None,13.163400735000323,None,13.163400735000323,None,,,,,,,,,,,,,l,001,2019_Sep_26_1007,body_behavioural,3.2.1,60.035893538622126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.196232802998566,None,14.196232802998566,None,14.196232802998566,None,,,,,,,,,,,,,,,,,,,,,13.913067369998316,None,space,0.20867662000091514,13.913067369998316,None,14.579200997999578,None,space,0.4223848879992147,14.579200997999578,None,,,,,,,
