count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,9.46844075084664,None,,001,2020_Jan_07_1602,untitled,3.2.1,59.98614126622884,
1,0,1,1,1,9.918458865955472,None,,001,2020_Jan_07_1602,untitled,3.2.1,59.98614126622884,
0,1,0,2,0,10.901909335982054,None,,001,2020_Jan_07_1602,untitled,3.2.1,59.98614126622884,
1,1,1,3,1,11.902004215866327,None,,001,2020_Jan_07_1602,untitled,3.2.1,59.98614126622884,
0,2,0,4,0,12.902091515948996,None,,001,2020_Jan_07_1602,untitled,3.2.1,59.98614126622884,
1,2,1,5,1,13.902088796021417,None,,001,2020_Jan_07_1602,untitled,3.2.1,59.98614126622884,
1,3,0,6,1,14.902168172877282,None,,001,2020_Jan_07_1602,untitled,3.2.1,59.98614126622884,
0,3,1,7,0,15.902243695920333,None,,001,2020_Jan_07_1602,untitled,3.2.1,59.98614126622884,
0,4,0,8,0,16.902288948884234,None,,001,2020_Jan_07_1602,untitled,3.2.1,59.98614126622884,
1,4,1,9,1,17.90244117891416,None,,001,2020_Jan_07_1602,untitled,3.2.1,59.98614126622884,
