Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
What is each business person’s job title?,"How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,jobphotos/business_reporter.jpg,0,0,0,0,,001,2020_Jan_07_1544,untitled,3.2.1,59.97715759193004,
How is the restaurant decorated?,What are the menus like?,"What does each client order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,jobphotos/restaurant_critic.jpg,0,1,1,1,,001,2020_Jan_07_1544,untitled,3.2.1,59.97715759193004,
What object is the initiator of the interaction holding when he/she first notices the other person?,What is the initial question that begins the conversation between the couple?,When will be the next time the couple meets and for what occasion?,"What time is it when the couple parts?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,jobphotos/matchmaker.jpg,0,2,2,2,,001,2020_Jan_07_1544,untitled,3.2.1,59.97715759193004,
For how long has the couple been dating?,"How many diamonds are on the ring, and what is the diamond color?","In/on what item is the ring presented?
","Who does the new fiancee text first?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,jobphotos/weddingplanner.jpg,0,3,3,3,,001,2020_Jan_07_1544,untitled,3.2.1,59.97715759193004,
"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,jobphotos/acem.jpg,0,4,4,4,,001,2020_Jan_07_1544,untitled,3.2.1,59.97715759193004,
"What is the grocery store like upon entering?
",What items do the clients pick out to buy?,"How many checkout lanes are open, and which one do the clients step into?
","How much are the groceries, and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",jobphotos/gscem.jpg,0,5,5,5,,001,2020_Jan_07_1544,untitled,3.2.1,59.97715759193004,
"What is the lecture hall like?
","What class are the students in, and what is the day’s lecture about?
","What is something taught in lecture?
","What is the next assessment/assignment for the class, and when is it scheduled/due?",Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,jobphotos/dean.jpg,0,6,6,6,,001,2020_Jan_07_1544,untitled,3.2.1,59.97715759193004,
For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,7,7,7,,001,2020_Jan_07_1544,untitled,3.2.1,59.97715759193004,
