instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,31.559922162006842,None,31.559922162006842,None,31.559922162006842,None,31.559922162006842,None,31.559922162006842,None,31.559922162006842,None,31.559922162006842,None,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,3,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,31.87742557800084,None,31.87742557800084,None,31.87742557800084,None,31.87742557800084,None,31.87742557800084,None,31.87742557800084,None,31.87742557800084,None,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,4,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,32.127611539995996,None,space,0.5047894750023261,32.127611539995996,None,32.127611539995996,None,32.710320747995866,None,32.710320747995866,None,Ff,,"[2, 1]",33.42698227800429,None,33.42698227800429,None,33.42698227800429,None,33.42698227800429,None,33.42698227800429,None,33.42698227800429,None,33.42698227800429,None,F,33.793336254006135,None,33.793336254006135,None,33.793336254006135,None,33.793336254006135,None,33.793336254006135,None,33.793336254006135,None,33.793336254006135,None,F,34.04360588399868,None,34.04360588399868,None,34.04360588399868,None,34.04360588399868,None,34.04360588399868,None,34.04360588399868,None,34.04360588399868,None,F,34.36108770999999,None,34.36108770999999,None,34.36108770999999,None,34.36108770999999,None,34.36108770999999,None,34.36108770999999,None,34.36108770999999,None,F,34.6104226430034,None,34.6104226430034,None,34.6104226430034,None,34.6104226430034,None,34.6104226430034,None,34.6104226430034,None,34.6104226430034,None,F,34.844261905003805,None,34.844261905003805,None,34.844261905003805,None,34.844261905003805,None,34.844261905003805,None,34.844261905003805,None,34.844261905003805,None,Ff,35.094816398006515,None,35.094816398006515,None,35.094816398006515,None,35.094816398006515,None,35.094816398006515,None,35.094816398006515,None,35.094816398006515,None,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,4,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ff,35.493682293003076,None,35.493682293003076,None,35.493682293003076,None,35.493682293003076,None,35.493682293003076,None,35.493682293003076,None,35.493682293003076,None,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,5,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,35.893741035004496,None,space,0.4657561869971687,35.893741035004496,None,35.893741035004496,None,36.42698033500346,None,36.42698033500346,None,F,,"[1, 2]",36.76035957799468,None,36.76035957799468,None,36.76035957799468,None,36.76035957799468,None,36.76035957799468,None,36.76035957799468,None,36.76035957799468,None,F,37.16051802999573,None,37.16051802999573,None,37.16051802999573,None,37.16051802999573,None,37.16051802999573,None,37.16051802999573,None,37.16051802999573,None,F,37.41123961500125,None,37.41123961500125,None,37.41123961500125,None,37.41123961500125,None,37.41123961500125,None,37.41123961500125,None,37.41123961500125,None,,37.743641139997635,None,37.743641139997635,None,37.743641139997635,None,37.743641139997635,None,37.743641139997635,None,37.743641139997635,None,37.743641139997635,None,F,37.994889699999476,None,37.994889699999476,None,37.994889699999476,None,37.994889699999476,None,37.994889699999476,None,37.994889699999476,None,37.994889699999476,None,F,38.37715306400787,None,38.37715306400787,None,38.37715306400787,None,38.37715306400787,None,38.37715306400787,None,38.37715306400787,None,38.37715306400787,None,F,38.57772891499917,None,38.57772891499917,None,38.57772891499917,None,38.57772891499917,None,38.57772891499917,None,38.57772891499917,None,38.57772891499917,None,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,5,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,38.860808615005226,None,38.860808615005226,None,38.860808615005226,None,38.860808615005226,None,38.860808615005226,None,38.860808615005226,None,38.860808615005226,None,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,6,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,39.06088159000501,None,space,0.6812251800001832,39.06088159000501,None,39.06088159000501,None,39.810691132996,None,39.810691132996,None,F,,"[2, 1]",40.14499037800124,None,40.14499037800124,None,40.14499037800124,None,40.14499037800124,None,40.14499037800124,None,40.14499037800124,None,40.14499037800124,None,F,40.64397523799562,None,40.64397523799562,None,40.64397523799562,None,40.64397523799562,None,40.64397523799562,None,40.64397523799562,None,40.64397523799562,None,F,40.89504486799706,None,40.89504486799706,None,40.89504486799706,None,40.89504486799706,None,40.89504486799706,None,40.89504486799706,None,40.89504486799706,None,,41.11131406200002,None,41.11131406200002,None,41.11131406200002,None,41.11131406200002,None,41.11131406200002,None,41.11131406200002,None,41.11131406200002,None,F,41.34424970000691,None,41.34424970000691,None,41.34424970000691,None,41.34424970000691,None,41.34424970000691,None,41.34424970000691,None,41.34424970000691,None,F,41.610666395004955,None,41.610666395004955,None,41.610666395004955,None,41.610666395004955,None,41.610666395004955,None,41.610666395004955,None,41.610666395004955,None,F,41.86086667299969,None,41.86086667299969,None,41.86086667299969,None,41.86086667299969,None,41.86086667299969,None,41.86086667299969,None,41.86086667299969,None,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,42.12749909500417,None,42.12749909500417,None,42.12749909500417,None,42.12749909500417,None,42.12749909500417,None,42.12749909500417,None,42.12749909500417,None,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,7,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,42.29401580800186,None,42.29401580800186,None,42.29401580800186,None,42.29401580800186,None,42.29401580800186,None,42.29401580800186,None,42.29401580800186,None,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,8,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,,,42.511620302000665,None,space,0.5051839100051438,42.511620302000665,None,42.511620302000665,None,43.095308388001285,None,43.095308388001285,None,, f,"[2, 1]",43.37866134500655,None,43.37866134500655,None,43.37866134500655,None,43.37866134500655,None,43.37866134500655,None,43.37866134500655,None,43.37866134500655,None,F,44.060886774997925,None,44.060886774997925,None,44.060886774997925,None,44.060886774997925,None,44.060886774997925,None,44.060886774997925,None,44.060886774997925,None,F,44.26189345799503,None,44.26189345799503,None,44.26189345799503,None,44.26189345799503,None,44.26189345799503,None,44.26189345799503,None,44.26189345799503,None,F,44.76199418499891,None,44.76199418499891,None,44.76199418499891,None,44.76199418499891,None,44.76199418499891,None,44.76199418499891,None,44.76199418499891,None,,45.09431534999749,None,45.09431534999749,None,45.09431534999749,None,45.09431534999749,None,45.09431534999749,None,45.09431534999749,None,45.09431534999749,None,,45.244396699999925,None,45.244396699999925,None,45.244396699999925,None,45.244396699999925,None,45.244396699999925,None,45.244396699999925,None,45.244396699999925,None,,45.54427981299523,None,45.54427981299523,None,45.54427981299523,None,45.54427981299523,None,45.54427981299523,None,45.54427981299523,None,45.54427981299523,None,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
