instruct_text,count,Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,instruct1.thisRepN,instruct1.thisTrialN,instruct1.thisN,instruct1.thisIndex,instruct2.thisRepN,instruct2.thisTrialN,instruct2.thisN,instruct2.thisIndex,instruct3.thisRepN,instruct3.thisTrialN,instruct3.thisN,instruct3.thisIndex,instruct4.thisRepN,instruct4.thisTrialN,instruct4.thisN,instruct4.thisIndex,instruct5.thisRepN,instruct5.thisTrialN,instruct5.thisN,instruct5.thisIndex,count_4.thisRepN,count_4.thisTrialN,count_4.thisN,count_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,instruct6.thisRepN,instruct6.thisTrialN,instruct6.thisN,instruct6.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_7.started,text_7.stopped,image_10.started,image_10.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_12.started,text_12.stopped,image_11.started,image_11.stopped,image_12.started,image_12.stopped,text_17.started,text_17.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,participant,sA,sB,lA,lB,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.729020443999616,None,53.729020443999616,None,space,1.1413708649997716,53.729020443999616,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
We encourage you to keep these questions in mind while listening to the story while simulating the associated perspective.,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,54.94578731399815,None,space,1.3656971449963748,54.94578731399815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
"When you are in the scanner, you will listen to the 12 short stories.",,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,56.36247405899485,None,space,0.645879399999103,56.36247405899485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.616498479997972,57.029254888999276,None,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
"Before listening to each story, you may be assigned one of the perspectives to take on while listening to it.",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,64.71285942899704,None,space,0.8155088979983702,64.71285942899704,None,,,,,,,,,,,,,,,,,,,,,57.029254888999276,None,57.029254888999276,None,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
"If a perspective is assigned, you’ll be quizzed on the 4 questions associated with it before listening.",,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,65.57989081899723,None,space,1.7172350630062283,65.57989081899723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
You must pass this quiz to move on to the story.,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,67.34656588399957,None,space,0.7997141779997037,67.34656588399957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
"There will be additional tasks after the story listening, but we will explain them when we come to them.",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,68.19662875899667,None,space,0.5105669170006877,68.19662875899667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
Are you reading to begin the training on the perspectives?,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,68.76336259399977,None,space,0.6557398280056077,68.76336259399977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
The four perspectives are as follows:,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,69.46329883200087,None,space,0.7075939400019706,69.46329883200087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
,0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,What is the initial reason stated by the initiator for why he/she wanted to meet?,Who wants how many letters burned as a result of the breakup?,"Couples Therapist
",jobphotos/couples.jpg,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3467814589967,None,70.3467814589967,None,space,0.5021078900026623,70.3467814589967,None,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
,3,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Toward which security line are the clients walking?,What section and seat are roped off on the plane?,Airport Customer Experience Manager,jobphotos/acem.jpg,,,,,,,,,,,,,,,,,,,,,0,1,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.98020259699842,None,70.98020259699842,None,space,0.3176478430032148,70.98020259699842,None,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
,2,How is the restaurant decorated?,What are the menus like?,"What does each client order?
",How do the clients like the food?,How is the restaurant supplied?,How do the clients like the chairs?,Restaurant Critic,jobphotos/restaurant_critic.jpg,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.43022059899522,None,71.43022059899522,None,space,0.18376296500355238,71.43022059899522,None,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
,1,For how long has the couple been dating?,"How many diamonds are on the ring, and what is the diamond color?","In/on what item is the ring presented?
","Who does the new fiancee text first?
",For how long has the couple known the other was going to propose?,Who does the new fiancee hug first?,Wedding Planner,jobphotos/weddingplanner.jpg,,,,,,,,,,,,,,,,,,,,,0,3,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.74687700899813,None,71.74687700899813,None,space,0.4390305229972,71.74687700899813,None,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
You’ll become acquainted with them more in learning the 4 questions associated with each perspective.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,72.28030719399976,None,space,72.87257475499791,72.28030719399976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1133,training_fmri,3.2.1,60.0191731258653,
