behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,count,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_30.keys,key_resp_30.rt,getTrigger.keys,getTrigger.rt,triggerTime,key_resp_26.keys,key_resp_26.rt,recall_StartTime,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,date,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,,[33 22 13 44 11 42 31 24],[4 3 1 4 3 2 2 1],[32 43 34 14 23 12 21 41],[2 4 4 1 1 3 3 2],space,2.5694051739992574,,,,,,,sil,0,1,0,1,1,0,1,0,2020_Jan_14_1506,recall_fmri,59.914721346720604,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.6526867549982853,5.255459204025101,space,2.6867164989816956,8.703057027014438,,,,,,,,,,,,,
