7.1683 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
7.9697 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x11a1ce358>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11a2c36a0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9697 	EXP 	window1: recordFrameIntervals = False
8.1352 	EXP 	window1: recordFrameIntervals = True
8.3188 	EXP 	window1: recordFrameIntervals = False
8.8742 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
8.8888 	EXP 	Imported count_01.xlsx as conditions, 2 conditions, 1 params
8.8912 	EXP 	Created sequence: random, trialTypes=2, nReps=5, seed=None
8.8921 	EXP 	New trial (rep=0, index=0): OrderedDict([('count', 0)])
8.9185 	EXP 	text: text = 0
9.4684 	EXP 	text: autoDraw = True
9.8944 	EXP 	New trial (rep=0, index=1): OrderedDict([('count', 1)])
9.9185 	EXP 	text: autoDraw = False
9.9185 	EXP 	text: text = 1
9.9185 	EXP 	text: autoDraw = True
10.8864 	EXP 	New trial (rep=1, index=0): OrderedDict([('count', 0)])
10.9019 	EXP 	text: autoDraw = False
10.9019 	EXP 	text: text = 0
10.9019 	EXP 	text: autoDraw = True
11.8865 	EXP 	New trial (rep=1, index=1): OrderedDict([('count', 1)])
11.9020 	EXP 	text: autoDraw = False
11.9020 	EXP 	text: text = 1
11.9020 	EXP 	text: autoDraw = True
12.8866 	EXP 	New trial (rep=2, index=0): OrderedDict([('count', 0)])
12.9021 	EXP 	text: autoDraw = False
12.9021 	EXP 	text: text = 0
12.9021 	EXP 	text: autoDraw = True
13.8868 	EXP 	New trial (rep=2, index=1): OrderedDict([('count', 1)])
13.9021 	EXP 	text: autoDraw = False
13.9021 	EXP 	text: text = 1
13.9021 	EXP 	text: autoDraw = True
14.8868 	EXP 	New trial (rep=3, index=0): OrderedDict([('count', 1)])
14.9022 	EXP 	text: autoDraw = False
14.9022 	EXP 	text: text = 1
14.9022 	EXP 	text: autoDraw = True
15.8871 	EXP 	New trial (rep=3, index=1): OrderedDict([('count', 0)])
15.9022 	EXP 	text: autoDraw = False
15.9022 	EXP 	text: text = 0
15.9022 	EXP 	text: autoDraw = True
16.8869 	EXP 	New trial (rep=4, index=0): OrderedDict([('count', 0)])
16.9023 	EXP 	text: autoDraw = False
16.9023 	EXP 	text: text = 0
16.9023 	EXP 	text: autoDraw = True
17.8869 	EXP 	New trial (rep=4, index=1): OrderedDict([('count', 1)])
17.9024 	EXP 	text: autoDraw = False
17.9024 	EXP 	text: text = 1
17.9024 	EXP 	text: autoDraw = True
18.7354 	DATA 	Keypress: space
18.8894 	DATA 	Keypress: space
18.9025 	EXP 	text: autoDraw = False
19.1759 	EXP 	window1: mouseVisible = True
