count,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Block1.thisRepN,Block1.thisTrialN,Block1.thisN,Block1.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_22.thisRepN,trials_22.thisTrialN,trials_22.thisN,trials_22.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,audio,story_list_block1,action_list_block1,story_list_block2,action_list_block2,text_53.started,text_53.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,image_23.started,image_23.stopped,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text_33.started,text_33.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.started,key_resp_22.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,question1_3.started,question1_3.stopped,question2_3.started,question2_3.stopped,question3_3.started,question3_3.stopped,question4_3.started,question4_3.stopped,question5_3.started,question5_3.stopped,question6_3.started,question6_3.stopped,image_16.started,image_16.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,storyimage_StartTime,image_24.started,image_24.stopped,clip_StartTime,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,[42 13 11 31 24 44 33 22],[2 1 3 2 1 4 4 3],[41 32 43 34 23 21 14 12],[2 2 4 4 1 3 1 3],None,None,19.110329387011006,None,5,1.515174456872046,19.110329387011006,None,3.5458857209887356,20.644110118970275,None,26.694140492007136,None,space,1.1784301078878343,26.694140492007136,None,26.694140492007136,None,27.894628547132015,None,space,0.5060454900376499,27.894628547132015,None,28.710988064063713,None,28.710988064063713,None,28.710988064063713,None,space,0.42565597500652075,28.710988064063713,None,29.16093871695921,None,space,0.5865752981044352,29.16093871695921,None,30.14461475214921,None,30.14461475214921,None,30.14461475214921,None,30.14461475214921,None,30.14461475214921,None,30.14461475214921,None,30.14461475214921,None,,,,,,,,,,,,,,,,,aaaaaa,0,1,0,1,1,1,1,0,2020_Jan_22_0420,listening_fmri,3.2.1,60.17407524407477,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.26104576396756,None,31.26104576396756,None,31.26104576396756,None,space,0.37042478495277464,31.26104576396756,None,,,,,,,,,,,,,,,,,,,,,30.81141223409213,None,space,0.37197047285735607,30.81141223409213,None,,,,,,,,,,,aaaaaa,0,1,0,1,1,1,1,0,2020_Jan_22_0420,listening_fmri,3.2.1,60.17407524407477,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.661621334031224,None,space,0.6418769678566605,31.661621334031224,None,11.741809230064973,32.42782765394077,None,14.711486360989511,,,,,,,,,,,,,,
