instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
,3,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,102.00940765700216,None,102.00940765700216,None,102.00940765700216,None,102.00940765700216,None,102.00940765700216,None,102.00940765700216,None,102.00940765700216,None,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,4,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,103.70916452800157,None,space,0.6846355179986858,103.70916452800157,None,103.70916452800157,None,104.44174414400186,None,104.44174414400186,None,,,"[2, 1]",104.9753277910022,None,104.9753277910022,None,104.9753277910022,None,104.9753277910022,None,104.9753277910022,None,104.9753277910022,None,104.9753277910022,None,,106.49294049600212,None,106.49294049600212,None,106.49294049600212,None,106.49294049600212,None,106.49294049600212,None,106.49294049600212,None,106.49294049600212,None,,108.42579774499973,None,108.42579774499973,None,108.42579774499973,None,108.42579774499973,None,108.42579774499973,None,108.42579774499973,None,108.42579774499973,None,,109.55826142099977,None,109.55826142099977,None,109.55826142099977,None,109.55826142099977,None,109.55826142099977,None,109.55826142099977,None,109.55826142099977,None,,111.07587674200113,None,111.07587674200113,None,111.07587674200113,None,111.07587674200113,None,111.07587674200113,None,111.07587674200113,None,111.07587674200113,None,,112.50963905900062,None,112.50963905900062,None,112.50963905900062,None,112.50963905900062,None,112.50963905900062,None,112.50963905900062,None,112.50963905900062,None,,117.19205782500285,None,117.19205782500285,None,117.19205782500285,None,117.19205782500285,None,117.19205782500285,None,117.19205782500285,None,117.19205782500285,None,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,4,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.00852326500171,None,119.00852326500171,None,119.00852326500171,None,119.00852326500171,None,119.00852326500171,None,119.00852326500171,None,119.00852326500171,None,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,5,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,121.99123662000056,None,space,1.840974325001298,121.99123662000056,None,121.99123662000056,None,123.87416580200079,None,123.87416580200079,None,J,,"[2, 1]",124.49205869100115,None,124.49205869100115,None,124.49205869100115,None,124.49205869100115,None,124.49205869100115,None,124.49205869100115,None,124.49205869100115,None,,126.09239299399997,None,126.09239299399997,None,126.09239299399997,None,126.09239299399997,None,126.09239299399997,None,126.09239299399997,None,126.09239299399997,None,J,128.20841015100086,None,128.20841015100086,None,128.20841015100086,None,128.20841015100086,None,128.20841015100086,None,128.20841015100086,None,128.20841015100086,None,J,157.52465900600146,None,157.52465900600146,None,157.52465900600146,None,157.52465900600146,None,157.52465900600146,None,157.52465900600146,None,157.52465900600146,None,J,161.02439733600113,None,161.02439733600113,None,161.02439733600113,None,161.02439733600113,None,161.02439733600113,None,161.02439733600113,None,161.02439733600113,None,J,162.57430731100249,None,162.57430731100249,None,162.57430731100249,None,162.57430731100249,None,162.57430731100249,None,162.57430731100249,None,162.57430731100249,None,J,164.24171704200126,None,164.24171704200126,None,164.24171704200126,None,164.24171704200126,None,164.24171704200126,None,164.24171704200126,None,164.24171704200126,None,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,5,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,165.1075348250015,None,165.1075348250015,None,165.1075348250015,None,165.1075348250015,None,165.1075348250015,None,165.1075348250015,None,165.1075348250015,None,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,6,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,165.80766457400023,None,space,0.8055517669999972,165.80766457400023,None,165.80766457400023,None,166.65777974600132,None,166.65777974600132,None,J,J,"[2, 1]",167.0575926040001,None,167.0575926040001,None,167.0575926040001,None,167.0575926040001,None,167.0575926040001,None,167.0575926040001,None,167.0575926040001,None,J,168.05776415700166,None,168.05776415700166,None,168.05776415700166,None,168.05776415700166,None,168.05776415700166,None,168.05776415700166,None,168.05776415700166,None,J,168.77553074800016,None,168.77553074800016,None,168.77553074800016,None,168.77553074800016,None,168.77553074800016,None,168.77553074800016,None,168.77553074800016,None,J,169.49226007700054,None,169.49226007700054,None,169.49226007700054,None,169.49226007700054,None,169.49226007700054,None,169.49226007700054,None,169.49226007700054,None,J,170.19184883500202,None,170.19184883500202,None,170.19184883500202,None,170.19184883500202,None,170.19184883500202,None,170.19184883500202,None,170.19184883500202,None,J,170.94141592000233,None,170.94141592000233,None,170.94141592000233,None,170.94141592000233,None,170.94141592000233,None,170.94141592000233,None,170.94141592000233,None,J,171.62496892800118,None,171.62496892800118,None,171.62496892800118,None,171.62496892800118,None,171.62496892800118,None,171.62496892800118,None,171.62496892800118,None,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,172.357936962002,None,172.357936962002,None,172.357936962002,None,172.357936962002,None,172.357936962002,None,172.357936962002,None,172.357936962002,None,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,7,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0743033409999,None,173.0743033409999,None,173.0743033409999,None,173.0743033409999,None,173.0743033409999,None,173.0743033409999,None,173.0743033409999,None,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,8,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,173.90772345799996,None,space,0.7292585499999404,173.90772345799996,None,173.90772345799996,None,174.67465652800092,None,174.67465652800092,None,J,J,"[1, 2]",175.37502412800313,None,175.37502412800313,None,175.37502412800313,None,175.37502412800313,None,175.37502412800313,None,175.37502412800313,None,175.37502412800313,None,J,176.35830715300108,None,176.35830715300108,None,176.35830715300108,None,176.35830715300108,None,176.35830715300108,None,176.35830715300108,None,176.35830715300108,None,J,177.5756924080015,None,177.5756924080015,None,177.5756924080015,None,177.5756924080015,None,177.5756924080015,None,177.5756924080015,None,177.5756924080015,None,J,178.45863554500102,None,178.45863554500102,None,178.45863554500102,None,178.45863554500102,None,178.45863554500102,None,178.45863554500102,None,178.45863554500102,None,J,179.3409820859997,None,179.3409820859997,None,179.3409820859997,None,179.3409820859997,None,179.3409820859997,None,179.3409820859997,None,179.3409820859997,None,J,180.24084054299965,None,180.24084054299965,None,180.24084054299965,None,180.24084054299965,None,180.24084054299965,None,180.24084054299965,None,180.24084054299965,None,J,181.5415286910029,None,181.5415286910029,None,181.5415286910029,None,181.5415286910029,None,181.5415286910029,None,181.5415286910029,None,181.5415286910029,None,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,8,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,182.47492641600184,None,182.47492641600184,None,182.47492641600184,None,182.47492641600184,None,182.47492641600184,None,182.47492641600184,None,182.47492641600184,None,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
