instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,questions time,text_47.started,text_47.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.267376553005306,None,24.267376553005306,None,24.267376553005306,None,24.267376553005306,None,24.267376553005306,None,24.267376553005306,None,24.267376553005306,None,,,,,,,,,,short,0,1,0,1,1,2,2020_Jan_29_1455,body_behavioural,3.2.1,60.019115851411826,
,3,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.43414486500842,None,24.43414486500842,None,24.43414486500842,None,24.43414486500842,None,24.43414486500842,None,24.43414486500842,None,24.43414486500842,None,,,,,,,,,,short,0,1,0,1,1,2,2020_Jan_29_1455,body_behavioural,3.2.1,60.019115851411826,
,4,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,24.617025871004444,None,space,0.5212122429948067,24.617025871004444,None,24.617025871004444,None,25.216592110999045,None,25.216592110999045,None,, ,"[1, 2]",25.48425982100889,None,25.48425982100889,None,25.48425982100889,None,25.48425982100889,None,25.48425982100889,None,25.48425982100889,None,25.48425982100889,None,,25.96765973100264,None,25.96765973100264,None,25.96765973100264,None,25.96765973100264,None,25.96765973100264,None,25.96765973100264,None,25.96765973100264,None,,26.16766357299639,None,26.16766357299639,None,26.16766357299639,None,26.16766357299639,None,26.16766357299639,None,26.16766357299639,None,26.16766357299639,None,,26.333292758004973,None,26.333292758004973,None,26.333292758004973,None,26.333292758004973,None,26.333292758004973,None,26.333292758004973,None,26.333292758004973,None,,26.50027365599817,None,26.50027365599817,None,26.50027365599817,None,26.50027365599817,None,26.50027365599817,None,26.50027365599817,None,26.50027365599817,None,,26.700050048006233,None,26.700050048006233,None,26.700050048006233,None,26.700050048006233,None,26.700050048006233,None,26.700050048006233,None,26.700050048006233,None,,26.866733828006545,None,26.866733828006545,None,26.866733828006545,None,26.866733828006545,None,26.866733828006545,None,26.866733828006545,None,26.866733828006545,None,,,,,,,,,,,,,,,,,,,,,,,,,short,0,1,0,1,1,2,2020_Jan_29_1455,body_behavioural,3.2.1,60.019115851411826,
,4,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.068041241000174,None,27.068041241000174,None,27.068041241000174,None,27.068041241000174,None,27.068041241000174,None,27.068041241000174,None,27.068041241000174,None,,,,,,,,,,short,0,1,0,1,1,2,2020_Jan_29_1455,body_behavioural,3.2.1,60.019115851411826,
,5,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,27.20095563599898,None,space,0.41815714199037757,27.20095563599898,None,27.20095563599898,None,27.700125122995814,None,27.700125122995814,None,,,"[2, 1]",27.98330544300552,None,27.98330544300552,None,27.98330544300552,None,27.98330544300552,None,27.98330544300552,None,27.98330544300552,None,27.98330544300552,None,,28.36696778300393,None,28.36696778300393,None,28.36696778300393,None,28.36696778300393,None,28.36696778300393,None,28.36696778300393,None,28.36696778300393,None,,28.583499578002375,None,28.583499578002375,None,28.583499578002375,None,28.583499578002375,None,28.583499578002375,None,28.583499578002375,None,28.583499578002375,None,,28.766874602995813,None,28.766874602995813,None,28.766874602995813,None,28.766874602995813,None,28.766874602995813,None,28.766874602995813,None,28.766874602995813,None,,28.934292225996614,None,28.934292225996614,None,28.934292225996614,None,28.934292225996614,None,28.934292225996614,None,28.934292225996614,None,28.934292225996614,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,29.266864917997736,None,29.266864917997736,None,29.266864917997736,None,29.266864917997736,None,29.266864917997736,None,29.266864917997736,None,29.266864917997736,None,,,,,,,,,,,,,,,,,,,,,,,,,short,0,1,0,1,1,2,2020_Jan_29_1455,body_behavioural,3.2.1,60.019115851411826,
,5,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.45159092900576,None,29.45159092900576,None,29.45159092900576,None,29.45159092900576,None,29.45159092900576,None,29.45159092900576,None,29.45159092900576,None,,,,,,,,,,short,0,1,0,1,1,2,2020_Jan_29_1455,body_behavioural,3.2.1,60.019115851411826,
,6,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,29.58470381599909,None,space,0.5351870980084641,29.58470381599909,None,29.58470381599909,None,30.200304477999453,None,30.200304477999453,None,, ,"[1, 2]",30.517387888001394,None,30.517387888001394,None,30.517387888001394,None,30.517387888001394,None,30.517387888001394,None,30.517387888001394,None,30.517387888001394,None,,30.98350584099535,None,30.98350584099535,None,30.98350584099535,None,30.98350584099535,None,30.98350584099535,None,30.98350584099535,None,30.98350584099535,None,,31.183756947997608,None,31.183756947997608,None,31.183756947997608,None,31.183756947997608,None,31.183756947997608,None,31.183756947997608,None,31.183756947997608,None,,31.35033892300271,None,31.35033892300271,None,31.35033892300271,None,31.35033892300271,None,31.35033892300271,None,31.35033892300271,None,31.35033892300271,None,,31.56826101100887,None,31.56826101100887,None,31.56826101100887,None,31.56826101100887,None,31.56826101100887,None,31.56826101100887,None,31.56826101100887,None,,31.70142271500663,None,31.70142271500663,None,31.70142271500663,None,31.70142271500663,None,31.70142271500663,None,31.70142271500663,None,31.70142271500663,None,,31.90124497099896,None,31.90124497099896,None,31.90124497099896,None,31.90124497099896,None,31.90124497099896,None,31.90124497099896,None,31.90124497099896,None,,,,,,,,,,,,,,,,,,,,,,,,,short,0,1,0,1,1,2,2020_Jan_29_1455,body_behavioural,3.2.1,60.019115851411826,
,6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.08383569600119,None,32.08383569600119,None,32.08383569600119,None,32.08383569600119,None,32.08383569600119,None,32.08383569600119,None,32.08383569600119,None,,,,,,,,,,short,0,1,0,1,1,2,2020_Jan_29_1455,body_behavioural,3.2.1,60.019115851411826,
,7,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.23379988099623,None,32.23379988099623,None,32.23379988099623,None,32.23379988099623,None,32.23379988099623,None,32.23379988099623,None,32.23379988099623,None,,,,,,,,,,short,0,1,0,1,1,2,2020_Jan_29_1455,body_behavioural,3.2.1,60.019115851411826,
,8,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,32.367918272997485,None,space,0.35882365200086497,32.367918272997485,None,32.367918272997485,None,32.8002495450055,None,32.8002495450055,None,,,"[2, 1]",33.15128176700091,None,33.15128176700091,None,33.15128176700091,None,33.15128176700091,None,33.15128176700091,None,33.15128176700091,None,33.15128176700091,None,,33.51874689300894,None,33.51874689300894,None,33.51874689300894,None,33.51874689300894,None,33.51874689300894,None,33.51874689300894,None,33.51874689300894,None,,33.70061992800038,None,33.70061992800038,None,33.70061992800038,None,33.70061992800038,None,33.70061992800038,None,33.70061992800038,None,33.70061992800038,None,,33.900706653003,None,33.900706653003,None,33.900706653003,None,33.900706653003,None,33.900706653003,None,33.900706653003,None,33.900706653003,None,,34.067210007997346,None,34.067210007997346,None,34.067210007997346,None,34.067210007997346,None,34.067210007997346,None,34.067210007997346,None,34.067210007997346,None,,34.2338433410041,None,34.2338433410041,None,34.2338433410041,None,34.2338433410041,None,34.2338433410041,None,34.2338433410041,None,34.2338433410041,None,,34.45059697100078,None,34.45059697100078,None,34.45059697100078,None,34.45059697100078,None,34.45059697100078,None,34.45059697100078,None,34.45059697100078,None,,,,,,,,,,,,,,,,,,,,,,,,,short,0,1,0,1,1,2,2020_Jan_29_1455,body_behavioural,3.2.1,60.019115851411826,
