instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,questions time,text_47.started,text_47.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In this last part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,,,,,[31 13 42 22 24 44 33 11],[2 1 2 3 1 4 4 3],[34 43 32 41 23 14 12 21],[4 4 2 2 1 1 3 3],space,2.4685503549990244,662.6216999220051,None,662.6216999220051,None,662.6216999220051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1452,body_behavioural,3.2.1,60.22251146510041,
Some of the questions are not related to the perspective you were asked to assume.,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.939673649991164,665.1544401370047,None,665.1544401370047,None,665.1544401370047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1452,body_behavioural,3.2.1,60.22251146510041,
"We realize that we did not tell you to think of these questions during the story, but please do your best to answer them.",,0,2,2,2,,,,,,,,,,,,,,,,,space,1.3400729880086146,666.1709630969999,None,666.1709630969999,None,666.1709630969999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1452,body_behavioural,3.2.1,60.22251146510041,
"Please answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,3,3,3,,,,,,,,,,,,,,,,,space,0.5004286280018277,667.5876647139958,None,667.5876647139958,None,667.5876647139958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1452,body_behavioural,3.2.1,60.22251146510041,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,4,4,4,,,,,,,,,,,,,,,,,space,0.5512916709994897,668.1385770019988,None,668.1385770019988,None,668.1385770019988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1452,body_behavioural,3.2.1,60.22251146510041,
,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,668.7550625620061,None,space,0.8597759340045741,668.7550625620061,None,668.7550625620061,None,669.8545043670019,None,669.8545043670019,None,, ,"[2, 1]",670.3057819789974,None,670.3057819789974,None,670.3057819789974,None,670.3057819789974,None,670.3057819789974,None,670.3057819789974,None,670.3057819789974,None,,671.4045397019945,None,671.4045397019945,None,671.4045397019945,None,671.4045397019945,None,671.4045397019945,None,671.4045397019945,None,671.4045397019945,None,,671.5378911870066,None,671.5378911870066,None,671.5378911870066,None,671.5378911870066,None,671.5378911870066,None,671.5378911870066,None,671.5378911870066,None,,671.6715538959979,None,671.6715538959979,None,671.6715538959979,None,671.6715538959979,None,671.6715538959979,None,671.6715538959979,None,671.6715538959979,None,,671.821791334005,None,671.821791334005,None,671.821791334005,None,671.821791334005,None,671.821791334005,None,671.821791334005,None,671.821791334005,None,,671.9556526819943,None,671.9556526819943,None,671.9556526819943,None,671.9556526819943,None,671.9556526819943,None,671.9556526819943,None,671.9556526819943,None,,672.087846245995,None,672.087846245995,None,672.087846245995,None,672.087846245995,None,672.087846245995,None,672.087846245995,None,672.087846245995,None,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1452,body_behavioural,3.2.1,60.22251146510041,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.2380442940048,None,672.2380442940048,None,672.2380442940048,None,672.2380442940048,None,672.2380442940048,None,672.2380442940048,None,672.2380442940048,None,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1452,body_behavioural,3.2.1,60.22251146510041,
,1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,672.3052979789936,None,space,0.5933548159955535,672.3052979789936,None,672.3052979789936,None,672.9715222889936,None,672.9715222889936,None,, ,"[1, 2]",673.3381332559948,None,673.3381332559948,None,673.3381332559948,None,673.3381332559948,None,673.3381332559948,None,673.3381332559948,None,673.3381332559948,None,,673.7549289269955,None,673.7549289269955,None,673.7549289269955,None,673.7549289269955,None,673.7549289269955,None,673.7549289269955,None,673.7549289269955,None,,673.9213928789977,None,673.9213928789977,None,673.9213928789977,None,673.9213928789977,None,673.9213928789977,None,673.9213928789977,None,673.9213928789977,None,,674.037945471995,None,674.037945471995,None,674.037945471995,None,674.037945471995,None,674.037945471995,None,674.037945471995,None,674.037945471995,None,,674.204790267002,None,674.204790267002,None,674.204790267002,None,674.204790267002,None,674.204790267002,None,674.204790267002,None,674.204790267002,None,,674.3380361019954,None,674.3380361019954,None,674.3380361019954,None,674.3380361019954,None,674.3380361019954,None,674.3380361019954,None,674.3380361019954,None,,674.5053333620017,None,674.5053333620017,None,674.5053333620017,None,674.5053333620017,None,674.5053333620017,None,674.5053333620017,None,674.5053333620017,None,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1452,body_behavioural,3.2.1,60.22251146510041,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.6550764239946,None,674.6550764239946,None,674.6550764239946,None,674.6550764239946,None,674.6550764239946,None,674.6550764239946,None,674.6550764239946,None,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1452,body_behavioural,3.2.1,60.22251146510041,
,2,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,674.739169471999,None,space,0.4563799030001974,674.739169471999,None,674.739169471999,None,675.2714706719999,None,675.2714706719999,None,, ,"[2, 1]",675.5383443089959,None,675.5383443089959,None,675.5383443089959,None,675.5383443089959,None,675.5383443089959,None,675.5383443089959,None,675.5383443089959,None,,676.0556167540053,None,676.0556167540053,None,676.0556167540053,None,676.0556167540053,None,676.0556167540053,None,676.0556167540053,None,676.0556167540053,None,,676.238301602003,None,676.238301602003,None,676.238301602003,None,676.238301602003,None,676.238301602003,None,676.238301602003,None,676.238301602003,None,,676.4218192520057,None,676.4218192520057,None,676.4218192520057,None,676.4218192520057,None,676.4218192520057,None,676.4218192520057,None,676.4218192520057,None,,676.5717627539998,None,676.5717627539998,None,676.5717627539998,None,676.5717627539998,None,676.5717627539998,None,676.5717627539998,None,676.5717627539998,None,,676.7218679469952,None,676.7218679469952,None,676.7218679469952,None,676.7218679469952,None,676.7218679469952,None,676.7218679469952,None,676.7218679469952,None,,676.8884054240043,None,676.8884054240043,None,676.8884054240043,None,676.8884054240043,None,676.8884054240043,None,676.8884054240043,None,676.8884054240043,None,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1452,body_behavioural,3.2.1,60.22251146510041,
