behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,count,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_30.keys,key_resp_30.rt,getTrigger.keys,getTrigger.rt,triggerTime,key_resp_26.keys,key_resp_26.rt,recall_StartTime,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,date,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,,[31 13 42 24 44 33 22 11],[2 1 2 1 4 4 3 3],[14 23 43 41 32 12 34 21],[1 1 4 2 2 3 4 3],space,0.7208664169884287,,,,,,,alex,0,1,0,1,1,0,1,0,2020_Jan_14_1640,recall_fmri,59.90450300103447,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.4167686619912274,3.1672848890302703,space,47.40166212100303,53.419125692977104,,,,,,,,,,,,,
