count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,We’d like to invest half of what you originally suggested.,2,2,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.8197803329994713,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"Rather than $30,000, we start with $15,000.",2,2,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.086512262999349,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,We would see how the company does and then invest the other half later.” ,2,2,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0365525949991934,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"Alma, tapping her pen on her notebook, narrowed her eyes and pursed her lips.",2,2,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.2864605779996054,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,She turned back to the lecture as she considered this.,2,2,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2698131099996317,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"The professor was going on: “The senate had conferred upon him the title of Augustus the sacred and revered one, the restorer of traditional values, the city’s new religious leader, the restorer of temples. ",3,2,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1.1863028679999843,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"Augustus also sought to beautify Rome, make it into a new Athens, and dispel the criticisms of Rome as disorganized and ugly.”",3,2,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.6700243830000545,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"Alma turned back to Charlie and offered her rebuttal, “I don’t know about that: it’s not going to be possible to implement our ideas effectively unless the project is fully funded. ",3,3,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.620074455000577,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,We would have to find other investors and that would set us back in our timeline. ,3,3,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.136287043000266,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"Our profit projections assumed we'd be starting relatively soon, not months down the line.” ",3,3,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0532255280004392,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,They whispered back and forth during the whole class in order to work out a compromise. ,3,3,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.500896593000107,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"Finally, the class ended, and the professor dismissed the students with a reminder that the midterm paper was due on Thursday and that they should email their papers to the TA.",4,3,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.253340912000567,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"Everyone, except Charlie and Alma, packed up their things and headed out of the lecture hall to get to their next class. ",4,3,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.2865103679996537,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"“Alright, so we’ll have the $30,000 wired to you by tomorrow,” Charlie said. ",4,4,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.2841507920002186,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"This wasn't ideal for Charlie, but Alma had refused to budge, and his investment group had told him they were willing to pay the full amount if necessary. ",4,4,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.3864885269995284,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,"They shook hands, walked out of the now-empty lecture hall, and made plans to sign the official paperwork the next day.",4,4,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.153046764999999,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0026448500002516,space,0.8530829930004984,space,1.9841254469993146,,,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
1,"Maria walked into lecture beside Henry, and she was mentally rehearsing what she should say to break up with him.",1,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.136648673000309,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
1,"She had been putting it off with a growing sense of dread, and now this lecture was the last chance before she had to leave campus. ",1,1,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.2697352929999397,,,,,,,,,,,,,,022619_p1_v2,001,2019_Feb_26_1037,body_behavioural,3.0.4,59.85482630848273,
