count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,"She had already picked out a can of pumpkin puree, vinegar, and she was now mulling over the different cans of cranberry sauce, and Alex knew she would be a while.",2.0,1.0,None,,,,,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,1,8.76770757799386,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,He turned his back to her and pulled out the ring.,2.0,2.0,None,,,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,9,12.903825795001467,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,The ring had one white diamond on a thin band that sparkled in the light. ,2.0,2.0,None,,,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,1,1.4194617479952285,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"“Alex?”, Chloe said suspiciously with the chosen can of cranberry sauce in her hand. ",2.0,2.0,None,,,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,1,2.7694364550116006,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,He closed the box and whipped around. “Yes?”,2.0,2.0,None,,,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,1,2.8026303600054234,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,“Do we need anything else?”,2.0,2.0,None,,,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,1,1.336465127998963,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"“Yeah I don’t know, honey.” ",2.0,2.0,None,,,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,1,1.1370803250028985,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,They went to the checkout where there were 5 aisles open and they stepped in line for station 3. ,3.0,2.0,None,,,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,1,2.3534038530051475,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,Alex was staring intensely off into the distance for most of the time and fidgeting with his wallet. ,3.0,2.0,None,,,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,1,3.8867241450061556,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"Chloe watched him trying to decide whether he looked scared or confused, and shrugged, pulling out her phone since she figured he’d talk about whatever was on his mind when he was ready. ",3.0,2.0,None,,,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,1,6.117538890001015,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,Alex looked over at their friends who were waiting by the entrance of the grocery store.,3.0,2.0,None,,,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,1,2.2199655050062574,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,They got the message and walked over slowly. ,3.0,2.0,None,,,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,1,6.9843831729958765,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"“Honey,” he said to get her attention, “Look, Chloe, I love you so much and I want to be with you forever, I can’t imagine a day without you.”",3.0,2.0,None,,,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,9,7.919985504006036,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"“Awww, Alex, me too.”",3.0,2.0,None,,,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,1,2.6026656700123567,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"Alex got down on one knee, and Chloe gasped. ",3.0,3.0,None,,,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,1,1.3365826350054704,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"The ring was in the crevice of his wallet, and he opened it.",None,None,None,,,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,1,2.9197194930020487,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"“I am serious, Chloe. Will you marry me?”",3.0,3.0,None,,,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,1,1.2697472629952244,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,"The people in line around them realized what was happening, stepped back, and started taking pictures.",3.0,3.0,None,,,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,1,4.719393000006676,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,Their friends were no longer trying to hide and were videotaping and taking pictures too. ,3.0,3.0,None,,,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,1,6.934500527000637,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,Chloe looked around and laughed. ,3.0,3.0,None,,,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,1,1.286229317993275,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
