count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,participant,session,date,expName,psychopyVersion,frameRate,
0," “Henry, I don’t think I can do long distance.",2,2,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,1,5.770025800011354,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"I think what we have here is great, but I think it will be really hard when we are so far apart for such an extended period.",2,2,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,1,8.734582192002563,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"I’m sorry I’m telling you now in lecture, but I'm out of time, and it’s taken me awhile to come to this decision.",2,2,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,1,6.352409490005812,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"I really think this is best, and who knows what will happen when I get back from my study abroad.” ",2,2,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,1,12.304309755010763,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"While Henry tried to think of what to say, he and Maria stared unlistening at the professor as he started the lecture, “First we will talk about Aristotle’s work, The Categories.",3,2,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,9,14.387483531987527,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"This text, as you might have been able to guess, is about the kinds, or categories, of things that there are.",3,2,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,1,6.41999147698516,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"In fact, our term category comes from this Aristotelian context.” ",3,2,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,1,8.803140681993682,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"Henry felt horrible, like the wind had just been knocked out of him.",3,2,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,9,10.420315975003177,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"A few tears started to fall down his cheeks as he whispered back, “Maria, I think we can make it work.",3,3,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,1,5.2200521449849475,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,I’ll come visit you.,3,3,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,1,1.7698717570165172,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,It will be fine.,3,3,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,1,1.3363819300138857,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,I don’t want to break up.”,3,3,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,1,9.403518987004645,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"Maria felt so guilty that she nearly gave in, but forced herself to hold her ground, knowing that this would make things much easier for both of them in the future.",3,3,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,1,10.337417850008933,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"She gave his hand a squeeze but shook her head sadly, before turning back to her laptop and half-heartedly taking notes on the lecture which they sat through in painful silence.",3,3,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,1,10.770150081982138,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"Finally, the professor was wrapping up, “This is what Aristotle means when he says that an animal’s or plant’s form rather than its matter is its nature. ",4,3,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,9,17.402730561007047,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"Alright class, that’s all for today. ",4,3,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,1,1.536483709991444,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"Remember the final exam is coming up next week on Tuesday on the Pre-Socratics, Plato, and Aristotle, so feel free to come by office hours to discuss if you have the inspiration.",4,3,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,1,8.768009509978583,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"And if anyone is doing the 20 page paper in lieu of the final, that’s due next Tuesday as well.",4,3,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,1,5.669972311996389,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"Have a good day, folks.” ",4,3,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,1,2.6176158049784135,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"Maria and Henry packed up hurriedly, and slipped quickly out of the class before the rest of the crowd. ",4,3,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,9,4.402908370015211,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"They hugged outside, and both of them were crying. ",4,4,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,1,3.802956881991122,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
0,"“Maria, I don’t want you to leave.",4,4,,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,,,,,,,1,2.3031221270211972,,,,,,,,,031319_p3,001,2019_Mar_13_1504,body_behavioural,3.0.4,59.98709738242666,
