count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,"But honestly, your company doesn’t have the resources to reach international markets right now, maybe in a few years you could, but by that time, other companies may have already filled your niche.",2,2,,,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.286717233000672,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
0,I think we should join forces.”,2,2,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.3697166069978266,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
0,The waitress came up to them and asked if they were ready to order.,3,2,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.5369979919996695,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
0,"Mr. Gordon ordered a medium-rare steak and martini, and Mr. Shelton ordered veal and a manhattan. ",3,2,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.9674134699962451,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
0,"Then Mr. Shelton continued, “Look, I’ve talked to other members of the board, and we are prepared to offer $600 million to buy your company. ",3,2,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.170363627999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
0,"We'd keep on all of your current employees, and you would join as the director of your company branch.” ",3,2,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.4698161749984138,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
0,Mr. Gordon sat looking at Mr. Shelton for a few moments considering his response. ,3,2,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.186381302999507,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
0,He looked at Mr. Shelton skeptically.,3,2,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1.2860373119983706,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
0,"He said, “Mr. Shelton, I think that you make a compelling offer, but there are definitely some disadvantages to attaching our small, streamlined productions to a large company like yours.",3,3,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.937608015003207,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
0,"We operate in a very different way than a large company, and the kind of administrative complexity that makes the scale of your productions possible would suffocate our business.",3,3,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.286452802996791,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
0,"With our product, scaling-up doesn’t necessarily make sense.” ",3,3,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2005759699968621,,,,,,,,,,,,,,,,,,,,,,,,,,,,022519_p1,001,2019_Feb_25_1013,body_behavioural,3.0.4,60.02230188668464,
