count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,[12 44 23 34 31 13 22 41 43 33 42 11 14 21 32 24],"['Social' 'Location' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Social' 'Social' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Social' 'Location']",[43 33 42 11 14 21 32 24],"['Social' 'Location' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location']",space,38.72446504000072,space,4.386885084999449,space,4.11998780200156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.819821380000576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.40310783499990066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4863188419985818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43601556999965396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3695940100005828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end things with him.",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.387881726999694,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,"Upon arriving, they had only 45 minutes until their international flight would depart from Jamaica for the US.",1,1,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.087144318000355,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,It had been a tough vacation for them.,1,1,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.084503334999681,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,"Jessie had really had it with Calvin’s constant ramblings about the same excruciatingly boring golfing and work stories, which he insisted on repeating to her regardless of how little interest she showed.",1,1,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.020126421000896,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,"Calvin knew that Jessie was upset, but wasn't sure what to do besides attempting to carry on as normal and tell stories that took up the silence. ",1,1,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.920533059999798,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,"The security line was luckily very short, and once the online boarding passes were scanned they were ushered quickly through the metal detector, not having to take off their shoes or remove the liquids from their bags.",2,1,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14.887019612000586,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,"“The infrastructure of this airport is really quite poor," said Calvin as they waited for their bags to emerge from the x-ray machine.",2,1,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.001392112000758,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,“I really could've hidden something in my shoes quite easily.” ,2,1,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.436740350000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,"Jessie, exasperated at his need to broadcast his every inner thought, scowled at the conveyor belt.",2,1,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.536960216999432,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,"“What?”, he asked.",2,1,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.8197352099996351,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,She balled up her fists and turned to face him.,2,1,,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.119841326999449,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,"“Calvin, I really don’t think I can do this anymore.",2,2,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.703102105000653,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,I think it’s best that once we get to the States we part ways for good.” ,2,2,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12.487286598001447,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
0,Calvin said nothing as he grabbed his bag and quickly walked away.,2,2,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2697954420000315,,,,,,,,,,,,,,,,,,,,,,,,,,,,022819_p2,001,2019_Feb_28_1156,body_behavioural,3.0.4,60.014692197364724,
