count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,"William laughed and said, “I’m glad our shared complaining can come in handy.",2,1,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.251797876990167,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,"I know this is fast, but I'd like to get right down to specifics.",2,2,,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.819913176994305,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,I'd like to order a couple of sample shipments from you and present them to our corporate buyers.,2,2,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6358565319969784,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,"Typically we expect to get these kinds of samples at a deep discount, at least half-off the label price.",2,2,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.517510804987978,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,"This is nothing, okay, compared to what you will be making if one of these buyers makes a contract.",2,2,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.270425909999176,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,So I propose that you send us $600 worth of wine shipments for a price of $300.”,2,2,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.536487336998107,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,"When it was their turn to go through the metal detector, they took off their shoes and pulled out their laptops.",2,2,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.8032335070020054,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,"Jeff mulled over the offer, nodding noncommittally to William's pitch as they proceeded through the metal detector and retrieved their belongings.",2,2,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.303562847009744,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,"They began to walk through the concourse, and William handed some printed spreadsheets to Jeff as they navigated toward their gates at the end of the terminal.",3,2,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9362586450006347,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,"Jeff, weaving through the crowds of travelers, squinted at William's rosy projections of the number of bottles he could be able to purchase in the future.",3,2,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.350916089999373,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
