instruct_text,this_pic,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,0,0,0,0,space,1.1219104189985956,1,001,2019_Feb_12_1122,part1_subjective_segmentation,59.97074579044411,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,0,1,1,1,space,2.2026083299988386,1,001,2019_Feb_12_1122,part1_subjective_segmentation,59.97074579044411,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,0,2,2,2,space,0.4704421549995459,1,001,2019_Feb_12_1122,part1_subjective_segmentation,59.97074579044411,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,0,3,3,3,space,0.5343152879995614,1,001,2019_Feb_12_1122,part1_subjective_segmentation,59.97074579044411,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,0,4,4,4,space,0.4702725000006467,1,001,2019_Feb_12_1122,part1_subjective_segmentation,59.97074579044411,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,0,5,5,5,space,0.30326611700002104,1,001,2019_Feb_12_1122,part1_subjective_segmentation,59.97074579044411,
