count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,"I just know when I’m there I’m going to be so busy, and I really want to be immersed in the life of the place I’m in.”",2,2,None,,,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.838125440001022,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"The professor said, “We will now talk about one of Aristotle’s works, The Categories.",3,2,None,,,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.569839371019043,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"This text, as you might have been able to guess, is about the kinds, or categories, of things that there are.",3,2,None,,,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.4193013070034795,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"In fact, our term category comes from this Aristotelian context.",3,2,None,,,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.720781494979747,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"The Categories, traditionally interpreted as an introduction to Aristotle’s logical work, divides all of  being into ten categories.” ",3,2,None,,,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27.78563822695287,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"Henry felt horrible, like the wind had just been knocked out of him and he whispered back, “Maria, I don’t want to break up with you because I love you.",3,3,None,,,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.8868234229739755,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"I’ll come visit you, and it will be fine.",3,3,None,,,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6700296750059351,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,I don’t want to break up.”,3,3,None,,,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9861206010100432,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"Maria felt so guilty that she nearly gave in, but she forced herself to hold her ground, knowing that this would make things much easier for both of them in the future.",3,3,None,,,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.870178769982886,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,She gave his hand a squeeze but shook her head sadly before turning back to look at her empty desk. ,3,3,None,,,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.603929549979512,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"The professor wrapped up, “Alright, class, that’s all for today.",4,3,None,,,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4.319806150975637,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"Remember the final exam is coming up next week on Tuesday on the Pre-Socratics, Plato, and Aristotle, so feel free to come by office hours to discuss if you have the inspiration.",4,3,None,,,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24.85573397797998,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"If anyone has any conflicts with another exam, please email me so that we can figure out a time to reschedule it. ",4,3,None,,,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.721074820961803,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
0,"Have a good day, folks.” ",4,3,None,,,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.1365741079789586,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1332,body_behavioural,3.0.4,59.948993116977924,
