count,storyText,locationEvent,socialEvent,storyEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,frameRate,
0,"“So you haven’t been around the city much?”, Simon asked. ",3,2,,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,1,4.403347065999981,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"“No, not really.",3,2,,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2336735570000315,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,I’ve mainly been working and setting up my apartment.”,3,2,,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,1,6.2188489899999695,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Simon asked her, “Ok well, if you’d like I could pick you up next weekend, and we could go around Harvard Square and get dinner.",3,3,,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,9,7.119820824000044,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"There are a lot of great places around there, and it’s really nice during the summer.",3,3,,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,1,2.4863456749999955,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,The Harvard campus is also beautiful.” ,3,3,,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,1,1.3844784229999618,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Carina smiled, “I’d love to: that sounds great!”",3,3,,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,1,1.7184600539999906,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"She quickly entered her number in his phone, since they only had to wait a couple minutes in line.",3,3,,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,1,2.8693814270000075,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,Then it was her turn to check out with the cashier. ,4,3,,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,9,6.635321487999988,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Simon, wanting to make a gesture of his affection, lifted up the divider on the conveyor belt and said to the cashier, “Actually these are together.",4,3,,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9190123490000133,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Carina, I’ve got it.",4,3,,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5855631130000347,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,This was kind-of a date today.”,4,3,,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,1,1.8189923170000384,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,Carina blushed and laughed; she thought this was ridiculous but also very sweet. ,4,3,,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0189945740000326,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"The cashier rolled her eyes when they weren’t looking, and she scanned the rest of his items. ",4,3,,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,1,3.452368036999985,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"The total came to $120, and he paid with his credit card.",4,3,,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,1,3.436306910999974,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Carina thanked him, and they took the groceries and walked out.",4,3,,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,1,4.486265875000015,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"As they were walking towards the exit, Carina reluctantly said goodbye since she was running late for the barbeque she was hosting that afternoon.",4,4,,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,9,9.070209094999996,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"They hugged and parted ways, stealing glances at each other as they both walked back to their cars.",4,4,,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2360992480000164,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,7.187050755999962,space,2.401188334999972,,,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end things with him.",1,1,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,9,15.406895909000013,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,"Upon arriving, they had only 45 minutes until their international flight would depart from Jamaica for the US.",1,1,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,9,17.075376818999985,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,It had been a tough vacation for them.,1,1,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3.4703149860000053,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
