count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,The practice required teams of experts with years of training and took a total of 70 days to complete.” ,3,2,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,1,1.0030644100002064,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"Ariana passed the note back to Leon, and she had replied, “No, but maybe my twin and I were separated at birth.”",3,2,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,9,3.1030838400001812,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,They passed notes back and forth the whole class like they were back in high school.,3,2,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,1,1.9175144229998295,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"Near the end of the lecture, Leon wrote, “Would you like to go to dinner tonight?” ",3,3,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,1,2.019682697999997,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"Ariana read the note, and looked at him and nodded her head",3,3,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,1,1.1364947350002694,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"She wrote back on the slip of paper, “Pick me up at 6 in front of Patton Hall.”",3,3,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,1,0.9365107850003369,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,Then the professor ended the lecture and announced to the class that they would have their first quiz next class on Friday on mummification. ,4,3,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,1,6.453408400000171,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"Everyone packed up and started heading out, as well as Sophie and Leon.",4,3,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,1,1.5364389579999624,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"They approached each other smiling, and Leon said, “Well it was great to meet you, again, or maybe not again, but regardless it was great to meet you.” ",4,3,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,1,2.16985890199976,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"She replied, “Yes, it was.",4,4,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,1,0.9007193800002824,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"I have to run to my next class, but I’ll see you later tonight.” ",4,4,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,1,0.7698157599998012,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"She waved as they parted ways outside of the door of the classroom, and Leon was still trying to figure out where he had seen her before as he watched her go. ",4,4,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,1,1.9864506379999511,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,,,,0,1,1,1,0,0,0,0,,,,,,,,,space,1.2859267899998486,space,0.8029978099998516,space,1.4173929850003333,,,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"Maria walked into lecture beside Henry, and she was mentally rehearsing what she should say to break up with him.",1,1,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,9,22.971194294999805,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"She had been putting it off with a growing sense of dread, and now this lecture was the last chance before she had to leave campus. ",1,1,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,1,4.220304107000629,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"The lecture hall was large, with a stage for the lecturer in the front of the room, and tiered seats that stretched up in 15 stacked rows. ",1,1,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,1,2.484179623000273,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"The clock struck 3 pm, and Maria and Henry slid into neighboring seats near the back of the room.",1,1,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,1,2.734224167999855,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"“Good afternoon, everybody,” said the professor, fiddling to connect his laptop with the projector.",2,1,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,9,4.000915544999771,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,“Welcome to week 4 of Intro to Ancient Philosophy. ,2,1,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,1,1.4031449699996301,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,Today we are going to continue our lecture on Aristotelian Philosophy.”,2,1,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,1,1.602661683000406,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,Everyone in class pulled out their notebooks and settled in their seats as the slides appeared on the large front screens.,2,1,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,1,9.286895518000165,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"“Henry,” Maria whispered.",2,1,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,9,1.6192456930002663,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"“Hmm?” he replied, distracted.",2,1,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,1,0.7841373549999844,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"“Henry, I need to tell you something really important, and I don’t know when else I’ll have a chance to do it,” she said.",2,1,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,1,4.020166020000033,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"“Okay, what's up?”, he said, tilting his head close to her. ",2,1,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,1,0.7532600020003883,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1," “Henry, I don’t think I can do long distance.",2,2,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,1,0.7199456620001001,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"I think what we have here is great, but I think it will be really hard when we are so far apart for such an extended period.",2,2,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,1,1.7695216580004853,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"I’m sorry I’m telling you now in lecture, but I'm out of time, and it’s taken me awhile to come to this decision.",2,2,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,1,1.4699741899994478,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"I really think this is best, and who knows what will happen when I get back from my study abroad.” ",2,2,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,1,2.467513610000424,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"While Henry tried to think of what to say, he and Maria stared unlistening at the professor as he started the lecture, “First we will talk about Aristotle’s work, The Categories, which is about the kinds, or categories, of things that there are.",3,2,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,9,7.317799632999595,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"In fact, our term category comes from this Aristotelian context.” ",3,2,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,1,2.353147804999935,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"Henry felt horrible, like the wind had just been knocked out of him.",3,2,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,1,2.436442055000043,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"A few tears started to fall down his cheeks as he whispered back, “Maria, I think we can make it work.",3,3,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,1,1.8364618399991741,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,I’ll come visit you.,3,3,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,1,1.3029682079995837,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,It will be fine.,3,3,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,1,0.6197770730004777,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,I don’t want to break up.”,3,3,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,1,2.4531013300002087,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"Maria felt so guilty that she nearly gave in, but forced herself to hold her ground, knowing that this would make things much easier for both of them in the future.",3,3,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,1,5.770077399999536,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"She gave his hand a squeeze but shook her head sadly, before turning back to her laptop and half-heartedly taking notes on the lecture which they sat through in painful silence.",3,3,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,1,4.519628410000223,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"Finally, the professor was wrapping up, “This is what Aristotle means when he says that an animal’s or plant’s form rather than its matter is its nature. ",4,3,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,9,6.253353998000421,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"Alright class, that’s all for today. ",4,3,0,1,1,1,,,,,0,26,26,26,,,,,,,,,,,1,0.9696442029999162,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"Remember the final exam is coming up next week on Tuesday on the Pre-Socratics, Plato, and Aristotle, so feel free to come by office hours to discuss if you have the inspiration.",4,3,0,1,1,1,,,,,0,27,27,27,,,,,,,,,,,1,7.270141619999777,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"And if anyone is doing the 20 page paper in lieu of the final, that’s due next Tuesday as well.",4,3,0,1,1,1,,,,,0,28,28,28,,,,,,,,,,,1,4.636561549999897,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"Have a good day, folks.” ",4,3,0,1,1,1,,,,,0,29,29,29,,,,,,,,,,,1,0.6529790499998853,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"Maria and Henry packed up hurriedly, and slipped quickly out of the class before the rest of the crowd. ",4,3,0,1,1,1,,,,,0,30,30,30,,,,,,,,,,,9,1.903101113000048,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"They hugged outside, and both of them were crying. ",4,4,0,1,1,1,,,,,0,31,31,31,,,,,,,,,,,1,6.1195596080006,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"“Maria, I don’t want you to leave.",4,4,0,1,1,1,,,,,0,32,32,32,,,,,,,,,,,1,2.5032080529999803,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,I don’t want this to end. ,4,4,0,1,1,1,,,,,0,33,33,33,,,,,,,,,,,1,0.7193173229998138,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"But if this is what you think is best, I can’t make it otherwise.” ",4,4,0,1,1,1,,,,,0,34,34,34,,,,,,,,,,,1,1.1696938179993595,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,"They hugged one last time, and Maria ran off to get her things from her dorm.",4,4,0,1,1,1,,,,,0,35,35,35,,,,,,,,,,,1,2.119486159999724,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,Henry sadly watched her go. ,4,4,0,1,1,1,,,,,0,36,36,36,,,,,,,,,,,1,6.03659721799977,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
1,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,,,,0,2,2,2,0,0,0,0,,,,,,,,,space,4.136223118000089,space,0.5529196779998529,space,0.6863126230000489,,,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other and shook hands.",1,1,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,9,7.120409784999538,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,"“Thank you again for inviting me here to discuss my business proposal,” said Ms. Bianchi, “And it’s a pleasure to be out of the office.” ",1,1,0,2,2,2,,,,,0,1,1,1,,,,,,,,,,,1,6.234476063000329,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,"As a salesperson for an Italian cheese company that was trying to expand its outreach to more mainstream grocery stores, this meeting could be a big break for her.",1,1,0,2,2,2,,,,,0,2,2,2,,,,,,,,,,,1,10.020362192999528,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,"Her sales target, Ms. Morrison,  who had a reputation for being a bit quirky, was a corporate buyer for a large chain grocery store. ",1,1,0,2,2,2,,,,,0,3,3,3,,,,,,,,,,,1,4.153256408000743,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,"She was known for doing things unconventionally: for example, she said that she liked to make deals with suppliers in the place where the products were sold- “to keep their minds focused on what’s important.” ",1,1,0,2,2,2,,,,,0,4,4,4,,,,,,,,,,,1,9.33452329300053,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,"They chatted a little in the front of the grocery store, which was surrounded by pumpkins and halloween decorations set up in special displays for the holiday season.",1,1,0,2,2,2,,,,,0,5,5,5,,,,,,,,,,,1,2.1865698599995085,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,"Ms. Bianchi and Ms. Morrison walked to the cheese section, and Ms. Morrison picked up a block of parmesan.",2,1,0,2,2,2,,,,,0,6,6,6,,,,,,,,,,,1,12.187158412999452,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,“We have quite a selection here.,2,1,0,2,2,2,,,,,0,7,7,7,,,,,,,,,,,1,0.7868639319995054,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,I don’t know that it needs an additional section for more gourmet cheeses.” ,2,1,0,2,2,2,,,,,0,8,8,8,,,,,,,,,,,1,1.919606819999899,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,"Ms. Bianchi's confidence faltered for a minute at this remark, but then she launched into her prepared pitch.",2,1,0,2,2,2,,,,,0,9,9,9,,,,,,,,,,,1,4.017607789999602,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2," “Ms. Morrison, I think you would agree that selling food is more than just providing variety, but also about providing the highest quality.",2,2,0,2,2,2,,,,,0,10,10,10,,,,,,,,,,,1,4.436417478000294,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
2,"You don’t have cheeses made in America that are like ours, it is true.",2,2,0,2,2,2,,,,,0,11,11,11,,,,,,,,,,,1,4.8529562820003775,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
