instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,3.6839609000016935,,,',001,2019_Jun_28_1525,part1_subjective_segmentation,3.0.4,60.26793703202755,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,space,1.8858836319996044,',001,2019_Jun_28_1525,part1_subjective_segmentation,3.0.4,60.26793703202755,
