,count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 82,count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 82
0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,[24 43 11 32 34 13 22 41],"['Social' 'Social' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Location']",space,6.6182751349988385,space,1.403429728001356,space,2.5195569780044025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030519_p3,1,2019_Mar_05_1619,body_behavioural,3.0.4,60.05180681032672,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,[21 34 12 44 43 11 33 22],"['Location' 'Location' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Social']",space,4.772385093005141,space,2.3846531200106256,space,2.787027419981314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,1.0,2019_Mar_08_1213,body_behavioural,3.0.4,59.84914662825267,
1,0.0,"Lana walked into lecture holding hands with her boyfriend, Aaron, who was trying to contain his excitement and anticipation for proposing to Lana in this class. ",1.0,1.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.387683306995315,,,,,,,,,,,,,,,,,,,,,,,,,,,,030519_p3,1,2019_Mar_05_1619,body_behavioural,3.0.4,60.05180681032672,,0.0,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations: Senna was going to propose tonight, and Alvira had no idea.",1.0,1.0,None,None,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,17.294373973010806,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,1.0,2019_Mar_08_1213,body_behavioural,3.0.4,59.84914662825267,
2,0.0,"Lana was lost in thought, still puzzling over a calculus problem on her problem set due that night.",1.0,1.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,16.203589598007966,,,,,,,,,,,,,,,,,,,,,,,,,,,,030519_p3,1,2019_Mar_05_1619,body_behavioural,3.0.4,60.05180681032672,,0.0,"He took a deep breath, trying to calm his nerves as worst case scenarios ran through his mind. ",1.0,1.0,None,None,,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.787052730011054,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,1.0,2019_Mar_08_1213,body_behavioural,3.0.4,59.84914662825267,
3,0.0,"The lecture hall was the fanciest one at Princeton, with chandeliers, high ceilings, wood floors and double-decker chalkboards.",1.0,1.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.1530125649878755,,,,,,,,,,,,,,,,,,,,,,,,,,,,030519_p3,1,2019_Mar_05_1619,body_behavioural,3.0.4,60.05180681032672,,0.0,The entrance of the restaurant was dazzling; chandeliers spread their warm light onto the delicate place settings of all the tables filled with guests dressed to the nines. ,1.0,1.0,None,None,,0.0,0.0,0.0,0.0,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.754674860014347,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,1.0,2019_Mar_08_1213,body_behavioural,3.0.4,59.84914662825267,
4,0.0,"This is where Aaron and Lana had met two years ago during an economics class, and now they were back together in the same lecture hall for their Chemistry class. ",1.0,1.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.501436856997314,,,,,,,,,,,,,,,,,,,,,,,,,,,,030519_p3,1,2019_Mar_05_1619,body_behavioural,3.0.4,60.05180681032672,,0.0,"Through the floor-to-ceiling arched windows of the back wall, they saw the sun setting onto the Pacific ocean.",1.0,1.0,None,None,,0.0,0.0,0.0,0.0,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.303545486996883,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,1.0,2019_Mar_08_1213,body_behavioural,3.0.4,59.84914662825267,
5,0.0,The professor caught Aaron's eye as he walked up to the front of the classroom and gave him a wink before the lecture began. ,1.0,1.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.521056027995654,,,,,,,,,,,,,,,,,,,,,,,,,,,,030519_p3,1,2019_Mar_05_1619,body_behavioural,3.0.4,60.05180681032672,,0.0,"This was surely one of the best restaurants on the west coast, situated right on the beach.",1.0,1.0,None,None,,0.0,0.0,0.0,0.0,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.253910828003427,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,1.0,2019_Mar_08_1213,body_behavioural,3.0.4,59.84914662825267,
6,0.0,Aaron responded with a huge grin. ,1.0,1.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.7871165149990698,,,,,,,,,,,,,,,,,,,,,,,,,,,,030519_p3,1,2019_Mar_05_1619,body_behavioural,3.0.4,60.05180681032672,,0.0,"Senna gave his name to the host, who quickly located their reservation with an almost comically wide customer-service smile.",1.0,1.0,7.0,None,,0.0,0.0,0.0,0.0,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.06757273999392,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,1.0,2019_Mar_08_1213,body_behavioural,3.0.4,59.84914662825267,
7,0.0,"The professor cleared his throat and said,“Alright, good afternoon, everyone!",2.0,1.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.7846350649924716,,,,,,,,,,,,,,,,,,,,,,,,,,,,030519_p3,1,2019_Mar_05_1619,body_behavioural,3.0.4,60.05180681032672,,0.0,He led them to a table right by the window.,2.0,1.0,None,None,,0.0,0.0,0.0,0.0,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.1839656450029,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,1.0,2019_Mar_08_1213,body_behavioural,3.0.4,59.84914662825267,
8,0.0,"Last week we talked about the structure of the periodic table, and this week the topic is ions.",2.0,1.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.5367155199928675,,,,,,,,,,,,,,,,,,,,,,,,,,,,030519_p3,1,2019_Mar_05_1619,body_behavioural,3.0.4,60.05180681032672,,0.0,"He brought out some very small menus, with a short list of the celebrity chef's carefully selected daily dishes written in a loopy, cursive font unadorned by any mention of prices.",2.0,1.0,None,9.0,,0.0,0.0,0.0,0.0,,,,,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.121216987987282,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,1.0,2019_Mar_08_1213,body_behavioural,3.0.4,59.84914662825267,
9,0.0,These are atoms or molecules in which the number of electrons does not equal the number of protons.,2.0,1.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.4528621750068849,,,,,,,,,,,,,,,,,,,,,,,,,,,,030519_p3,1,2019_Mar_05_1619,body_behavioural,3.0.4,60.05180681032672,,0.0,Senna slipped off to the bathroom to check to make sure the ring was in order.,2.0,2.0,None,None,,0.0,0.0,0.0,0.0,,,,,0.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.636487200012198,,,,,,,,,,,,,,,,,,,,,,,,,,,,030819_p1,1.0,2019_Mar_08_1213,body_behavioural,3.0.4,59.84914662825267,
