count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,"Finally, she relieved Sven of his holding duties, and he hurriedly deposited his own backpack on the belt as the people behind them glared without shame. ",2,2,None,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.652567291981541,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"Sven went into the millimeter wave scanner after Isabel, put his hands up, and the metal bars whirled around him.",2,2,None,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.436440530000255,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"“Sir, please step to the side.",2,2,None,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.1531974149984308,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"You need to empty your pockets,” the security guard said.",2,2,None,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.9365296720061451,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"With a sinking feeling Sven realized the mistake he had made forgetting to put the ring back in his bag, as Isabel and the guard both looked at him expectantly.",2,2,None,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.934616479964461,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"Sven,  deciding he would make the best of the situation, grabbed Isabel's hand as he reached into his pocket.",2,2,None,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.287470125011168,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"He got down on one knee and, giggling slightly at her confused look, said, “Isabel, this isn't quite how I'd planned this, but - will you marry me?”",2,3,None,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.7361837250064127,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,The security guard gasped.,2,3,None,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.670421461982187,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,All the people who were putting their shoes back on and gathering their belongings stopped what they were doing and walked closer to the couple.,2,3,None,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.136585414991714,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"Isabel was astonished, and far too shy to respond in front of the backup of passengers waiting behind them.",2,3,None,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.6843539419933222,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
