instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
,3,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.1455103320004,None,676.1455103320004,None,676.1455103320004,None,676.1455103320004,None,676.1455103320004,None,676.1455103320004,None,676.1455103320004,None,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,4,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,678.1287554569999,None,space,3.663654480000332,678.1287554569999,None,678.1287554569999,None,681.8297611060007,None,681.8297611060007,None,Aaron takes the ring out of his backpack, ,"[2, 1]",682.7291168440006,None,682.7291168440006,None,682.7291168440006,None,682.7291168440006,None,682.7291168440006,None,682.7291168440006,None,682.7291168440006,None,It's a chemistry class. the lecture is about ions.,688.5134784190004,None,688.5134784190004,None,688.5134784190004,None,688.5134784190004,None,688.5134784190004,None,688.5134784190004,None,688.5134784190004,None,,704.8622030830002,None,704.8622030830002,None,704.8622030830002,None,704.8622030830002,None,704.8622030830002,None,704.8622030830002,None,704.8622030830002,None,There is an upcoming midterm.,712.6453888200003,None,712.6453888200003,None,712.6453888200003,None,712.6453888200003,None,712.6453888200003,None,712.6453888200003,None,712.6453888200003,None,A few years. i think since freshman year.,735.1627032020006,None,735.1627032020006,None,735.1627032020006,None,735.1627032020006,None,735.1627032020006,None,735.1627032020006,None,735.1627032020006,None,The diamonds are red and there are several small ones on the ring. 5 i think,750.9624623230002,None,750.9624623230002,None,750.9624623230002,None,750.9624623230002,None,750.9624623230002,None,750.9624623230002,None,750.9624623230002,None,Aaron takes the ring out of his backpack,789.2619013090007,None,789.2619013090007,None,789.2619013090007,None,789.2619013090007,None,789.2619013090007,None,789.2619013090007,None,789.2619013090007,None,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,4,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Her sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Her sister,808.161735828,None,808.161735828,None,808.161735828,None,808.161735828,None,808.161735828,None,808.161735828,None,808.161735828,None,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,5,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,812.827475043,None,space,0.9056829400005881,812.827475043,None,812.827475043,None,813.7774437710004,None,813.7774437710004,None,How many people and days the mummification process took., ,"[1, 2]",815.3451022919999,None,815.3451022919999,None,815.3451022919999,None,815.3451022919999,None,815.3451022919999,None,815.3451022919999,None,815.3451022919999,None,Are you from la,828.994907843,None,828.994907843,None,828.994907843,None,828.994907843,None,828.994907843,None,828.994907843,None,828.994907843,None,They will meet in front of leon's dorm to go on a walk later that night,843.0608866399998,None,843.0608866399998,None,843.0608866399998,None,843.0608866399998,None,843.0608866399998,None,843.0608866399998,None,843.0608866399998,None, ,859.8108363250003,None,859.8108363250003,None,859.8108363250003,None,859.8108363250003,None,859.8108363250003,None,859.8108363250003,None,859.8108363250003,None,,865.6601849990002,None,865.6601849990002,None,865.6601849990002,None,865.6601849990002,None,865.6601849990002,None,865.6601849990002,None,865.6601849990002,None,The class is about ancient egypt. the lecture is about mummification,869.4939352330002,None,869.4939352330002,None,869.4939352330002,None,869.4939352330002,None,869.4939352330002,None,869.4939352330002,None,869.4939352330002,None,How many people and days the mummification process took.,889.2938753380004,None,889.2938753380004,None,889.2938753380004,None,889.2938753380004,None,889.2938753380004,None,889.2938753380004,None,889.2938753380004,None,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,5,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.610569937,None,925.610569937,None,925.610569937,None,925.610569937,None,925.610569937,None,925.610569937,None,925.610569937,None,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,6,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,928.1926499870006,None,space,0.7425368340000205,928.1926499870006,None,928.1926499870006,None,928.9754530580003,None,928.9754530580003,None,,There are a lot of halloween treats and decorations.,"[2, 1]",930.2437245020001,None,930.2437245020001,None,930.2437245020001,None,930.2437245020001,None,930.2437245020001,None,930.2437245020001,None,930.2437245020001,None,Crackers,945.3431014739999,None,945.3431014739999,None,945.3431014739999,None,945.3431014739999,None,945.3431014739999,None,945.3431014739999,None,945.3431014739999,None,,949.7432765860003,None,949.7432765860003,None,949.7432765860003,None,949.7432765860003,None,949.7432765860003,None,949.7432765860003,None,949.7432765860003,None,,953.1924681310002,None,953.1924681310002,None,953.1924681310002,None,953.1924681310002,None,953.1924681310002,None,953.1924681310002,None,953.1924681310002,None, ms bianchi sells cheese for an italian company and ms morrison is a buyer for a chain of grocery stores.,958.2757688219999,None,958.2757688219999,None,958.2757688219999,None,958.2757688219999,None,958.2757688219999,None,958.2757688219999,None,958.2757688219999,None,,991.1422939929998,None,991.1422939929998,None,991.1422939929998,None,991.1422939929998,None,991.1422939929998,None,991.1422939929998,None,991.1422939929998,None,,995.9755010650006,None,995.9755010650006,None,995.9755010650006,None,995.9755010650006,None,995.9755010650006,None,995.9755010650006,None,995.9755010650006,None,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They cheers with some champagne that ms. morrison takes out of her purse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They cheers with some champagne that ms. morrison takes out of her purse.,998.7088691019999,None,998.7088691019999,None,998.7088691019999,None,998.7088691019999,None,998.7088691019999,None,998.7088691019999,None,998.7088691019999,None,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,7,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They cheers with some champagne that ms. morrison takes out of her purse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They cheers with some champagne that ms. morrison takes out of her purse.,1018.8414272959999,None,1018.8414272959999,None,1018.8414272959999,None,1018.8414272959999,None,1018.8414272959999,None,1018.8414272959999,None,1018.8414272959999,None,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,8,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,1036.2248657220007,None,space,1.6677195559996107,1036.2248657220007,None,1036.2248657220007,None,1037.9415521680003,None,1037.9415521680003,None,,It's big and modern with a lot of light.,"[2, 1]",1042.5249711400002,None,1042.5249711400002,None,1042.5249711400002,None,1042.5249711400002,None,1042.5249711400002,None,1042.5249711400002,None,1042.5249711400002,None,It's a philosophy class. the lecture is about aristotle.,1054.8746812220006,None,1054.8746812220006,None,1054.8746812220006,None,1054.8746812220006,None,1054.8746812220006,None,1054.8746812220006,None,1054.8746812220006,None,,1074.640908806,None,1074.640908806,None,1074.640908806,None,1074.640908806,None,1074.640908806,None,1074.640908806,None,1074.640908806,None,There is an upcoming paper due,1101.6247395170003,None,1101.6247395170003,None,1101.6247395170003,None,1101.6247395170003,None,1101.6247395170003,None,1101.6247395170003,None,1101.6247395170003,None,Alma is the ceo of a student web developing company. charlie is part of a student investing/venture capital club.,1114.4905108960002,None,1114.4905108960002,None,1114.4905108960002,None,1114.4905108960002,None,1114.4905108960002,None,1114.4905108960002,None,1114.4905108960002,None,"34,000",1217.855229449,None,1217.855229449,None,1217.855229449,None,1217.855229449,None,1217.855229449,None,1217.855229449,None,1217.855229449,None,,1241.3562419549999,None,1241.3562419549999,None,1241.3562419549999,None,1241.3562419549999,None,1241.3562419549999,None,1241.3562419549999,None,1241.3562419549999,None,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,8,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.772133521,None,1244.772133521,None,1244.772133521,None,1244.772133521,None,1244.772133521,None,1244.772133521,None,1244.772133521,None,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
