count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,"“Okay so I’ve been thinking about your startup idea, and I have talked about it with my fellow investors.",2,2,None,,,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.687178661988582,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p1,001,2019_Mar_15_1230,body_behavioural,3.0.4,60.22172845633561,
0,We’d like to invest half of what you originally suggested.,2,2,None,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.103181950020371,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p1,001,2019_Mar_15_1230,body_behavioural,3.0.4,60.22172845633561,
0,"Rather than $30,000, we start with $15,000.",2,2,None,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3694829599990044,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p1,001,2019_Mar_15_1230,body_behavioural,3.0.4,60.22172845633561,
0,We would see how the company does and then invest the other half later.” ,2,2,None,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0031865049968474,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p1,001,2019_Mar_15_1230,body_behavioural,3.0.4,60.22172845633561,
0,"Alma, tapping her pen on her notebook, narrowed her eyes and pursed her lips.",2,2,None,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.5532016000070143,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p1,001,2019_Mar_15_1230,body_behavioural,3.0.4,60.22172845633561,
0,She turned back to the lecture as she considered this.,2,2,None,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4.3342743949906435,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p1,001,2019_Mar_15_1230,body_behavioural,3.0.4,60.22172845633561,
0,"The professor was going on: “The senate had conferred upon him the title of Augustus the sacred and revered one, the restorer of traditional values, the city’s new religious leader, the restorer of temples. ",3,2,None,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.00374116198509,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p1,001,2019_Mar_15_1230,body_behavioural,3.0.4,60.22172845633561,
0,"Augustus also sought to beautify Rome, make it into a new Athens, and dispel the criticisms of Rome as disorganized and ugly.”",3,2,None,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0365600849909242,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p1,001,2019_Mar_15_1230,body_behavioural,3.0.4,60.22172845633561,
0,"Alma turned back to Charlie and offered her rebuttal, “I don’t know about that: it’s not going to be possible to implement our ideas effectively unless the project is fully funded. ",3,3,None,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.9198733570228796,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p1,001,2019_Mar_15_1230,body_behavioural,3.0.4,60.22172845633561,
0,We would have to find other investors and that would set us back in our timeline. ,3,3,None,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.8666653120017145,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p1,001,2019_Mar_15_1230,body_behavioural,3.0.4,60.22172845633561,
