count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,She continued down the aisle and studied a jar of vodka sauce and a can of olives before putting them in the basket as well. ,2.0,1.0,None,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.5842073099920526,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"Emmanuella suddenly wrinkled her eyebrows, turned to Liam, and said, “I want to break up since I’m tired of the constant fighting. ",2.0,2.0,None,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.086730792012531,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"I was going to wait until after this horribly-timed dinner party tonight to talk about this, but I might as well say it now.",2.0,2.0,None,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.303282709966879,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"I feel like when we try to do anything anymore it ends up unpleasant for the stupidest reasons, and I am just past trying to work things out.”",2.0,2.0,None,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.917169971973635,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,Liam was nodding automatically.,2.0,2.0,None,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.287006185040809,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"In the checkout area, there was only one station open, Station 2, but it was not very crowded.",3.0,2.0,None,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.753661156981252,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,They got in line.,3.0,2.0,None,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1856561269960366,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"Liam gazed in the direction of the magazines, but his eyes were glazed over as he was working things out in his head while Emmanuella scrutinized the pasta sauce again. ",3.0,2.0,None,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.21982338099042,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"After a few minutes of thinking, Liam recollected himself, turned to her, and sighed, “Yes, I think the same thing.",3.0,3.0,None,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.686524017015472,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,I think we should break up because we could definitely be happier with other people.” ,3.0,3.0,None,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.369591491995379,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
