count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,I'd really like to order a couple of sample shipments from you and present them to our clients: I think they’d really love to have some East Coast variety. ,2,2,None,,,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.020215130003635,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"Now, typically we expect to get these kinds of samples at a steep discount, at least half-off the label price.",2,2,None,,,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.203444204991683,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,This small loss is well worth the profit you’d be making if even a single client makes a contract.,2,2,None,,,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.386975724977674,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,So I propose that you send us 5 barrels of your select wines for $800.”,2,2,None,,,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.202825973014114,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"Before going through the metal detector, there was a pause in the security line to roll out the empty bin cart and roll in a filled one. ",2,2,None,,,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37.188989710004535,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,They placed everything in their bins. ,2,2,None,,,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.30089029300143,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"Jeff mulled over the offer, nodding noncommittally to William's pitch as they proceeded through the metal detector.",2,2,None,,,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.036236924992409,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"Having recovered from the security check, they began to walk through the concourse toward Jeff’s gate, B8, and William handed some printed spreadsheets to Jeff.",3,2,None,,,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.42142694001086,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"Jeff, weaving through the crowd of travelers, squinted at William's rosy projections of the number of bottles he would purchase in the future.",3,2,None,,,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.853577989997575,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"After thinking for a couple minutes and walking past a number of coffee shops that William was eyeing, Jeff said, “I am not sure about this since we’re not coming a corporate vineyard and gambling with sample shipments is the kind of risk we can’t necessarily make. ",3,3,None,,,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24.23489284000243,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"These corporate purchases would have to be huge and practically guaranteed, to offset the loss from selling sample shipments at a price like you suggest.”",3,3,None,,,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.45399283801089,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"William decided to tell Jeff that they had made the same offer to their competitor, Yankee Vines, who had refused and that they would make a better offer to Jeff and his company.",3,3,None,,,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.755042249977123,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"They walked to the gates very slowly, barely registering the hubbub of the airport.",3,3,None,,,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.453843499999493,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"William and Jeff came to an agreement on a compromise rate on the sample shipment, paying $400 for a $600 shipment of wine sample, and they finalized the deal with a handshake. ",3,4,None,,,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.120519338001031,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"“Well, what a tremendous pleasure to do business with you and to have all this work out,” William said.",3,4,None,,,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.620060635003028,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"Jeff nodded enthusiastically, and responded, “Likewise- this has been great.  ",3,4,None,,,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.30316296798992,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,I'll let you get to your gate.,3,4,None,,,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.38729590800358,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"Once we’re both back on the ground, we can work out all the official documentation and get this in the books.”",3,4,None,,,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.169867938006064,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"Jeff jogged to his gate, scanned his boarding pass, and walked onto the plane.",4,4,None,,,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.6864791630068794,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,He sat down in seat 4A in the business class section and  typed out a quick email on his phone letting the rest of his team know the good news. ,4,4,None,,,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.668867266009329,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,"When the flight attendant came by, he ordered a glass of champagne to celebrate.",4,4,None,,,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.7028310050081927,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.4030309399822727,space,2.1529545850062277,space,1.6534552619850729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe; he was hoping that she wouldn't suspect that he was about to propose.",1,1,23.0,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6362497500085738,space,3.8533635799831245,9,38.2724657599756,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
1,The grocery store was brightly lit with sunshine pouring in through glass walls at the front of the store.,1,1,None,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.8535690999997314,,,,,,,,,,,,,,,,,,,,,,,,,,,,062519_p1,001,2019_Jun_25_1044,body_behavioural,3.0.4,59.91582127112529,
