count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,23,,0,0,0,0,0,0,0,0,,,,,,,,,[23 22 34 42 31 11 43 14 13 21 41 24 33 32 44 12],"['Social' 'Location' 'Social' 'Social' 'Location' 'Social' 'Location'
 'Location' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Social']",1,2.586383698042482,,,,001,2019_Jan_10_1443,body_behavioural,None,
0,Grocery shopping Proposal,,0,0,0,0,0,1,1,1,,,,,,,,,,,9,0.20077761798165739,,,,001,2019_Jan_10_1443,body_behavioural,None,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1443,body_behavioural,None,
1,22,,0,1,1,1,0,0,0,0,,,,,,,,,,,1,0.5185956630157307,,,,001,2019_Jan_10_1443,body_behavioural,None,
1,Airport Proposal,,0,1,1,1,0,1,1,1,,,,,,,,,,,9,0.46824654296506196,,,,001,2019_Jan_10_1443,body_behavioural,None,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1443,body_behavioural,None,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,space,0.5521928439848125,,001,2019_Jan_10_1443,body_behavioural,None,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,space,0.13510258006863296,,001,2019_Jan_10_1443,body_behavioural,None,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,space,0.13473835703916848,,001,2019_Jan_10_1443,body_behavioural,None,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,space,0.23519751895219088,,001,2019_Jan_10_1443,body_behavioural,None,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,space,0.3676512480014935,,001,2019_Jan_10_1443,body_behavioural,None,
