count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,participant,session,date,expName,frameRate,
0,41,,0,0,0,0,0,0,0,0,,,,,,,,,[41 44 14 33 22 32 11 23 31 24 21 12 43 34 13 42],"['Social' 'Location' 'Social' 'Location' 'Location' 'Social' 'Location'
 'Social' 'Social' 'Social' 'Location' 'Location' 'Location' 'Location'
 'Social' 'Social']",1,2.6184028959833086,,,,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
0,Restaurant Meet Cute,,0,0,0,0,0,1,1,1,,,,,,,,,,,9,0.5020495099015534,,,,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,space,1.0532957050018013,,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,space,0.2520007399143651,,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,space,0.4515121590811759,,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,space,0.684866204042919,,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,space,0.6340017430484295,,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,Jfkdslfkj,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,Hello,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,Gorbin,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,Coop,,001,2019_Jan_10_1358,body_behavioural,59.989664980038924,
