count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,second half of x,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
3,Charlie saw Alma as they walked into class and he motioned for her to come sit in the back next to him: they had business to discuss.,1,1,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2363662400002795,None,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
3,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4196529900000314,,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
4,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,1.0526755099999718,space,1.286281449999933,space,0.6529404899997644,,,,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
4,"Jeff, hoping that today would be a pivotal day for his new business, had only been waiting inside the doors of the airport for a few minutes when he saw William and eagerly waved him over. ",1,1,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0674275000001217,None,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
4,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3357301500000176,,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
5,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.5361896730000808,space,0.619701812999665,space,0.45213906700018924,,,,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
5,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations: Senna was going to propose tonight, and Alvira had no idea.",1,1,None,None,,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6529163400000471,None,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
5,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7024980250002955,,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
6,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.43569944199998645,space,0.47017103300004237,space,0.36955229500017595,,,,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
6,"Maria walked into lecture beside Henry, and she was mentally rehearsing what she should say to break up with him.",1,1,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6696594150002966,None,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
6,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4364756129998568,,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
7,,,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.4030661649999274,space,0.602982924999651,space,0.5696086120001382,,,,,,,,,,,,,,,,,,,,,,,,,,,,SECONDTEST,001,2019_Feb_20_1452,SECONDPART_body_behavioural,3.0.4,60.17724485348932,
