count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[32 11 23 13 44 42 21 34 12 31 43 24 22 14 33 41],"['Location' 'Location' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Social' 'Location' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Social' 'Social']",[12 31 43 24 22 14 33 41],"['Location' 'Location' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Social']",space,0.4225329199980479,space,0.31969158799984143,space,0.6363952449974022,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1417,body_behavioural,3.0.4,59.93460954312745,
0,"Jeff, hoping that today would be a pivotal day for his new business, had only been waiting inside the doors of the airport for a few minutes when he saw William and eagerly waved him over. ",1,1,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.286085956999159,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1417,body_behavioural,3.0.4,59.93460954312745,
0,"Jeff, checking his watch, was pleased to see that the two of them had two hours to discuss business before their flights left Boston.",1,1,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2363365220007836,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1417,body_behavioural,3.0.4,59.93460954312745,
0,The two had met the night before in line for the bathroom at a local bar. ,1,1,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4030266900008428,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1417,body_behavioural,3.0.4,59.93460954312745,
0,Jeff had delivered some surprisingly-detailed complaints to William about the wine selection.,1,1,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4177437319995079,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1417,body_behavioural,3.0.4,59.93460954312745,
0,They quickly learned about each other that Jeff was a representative for wine vineyards in the Northeast and William was a wine buyer for corporate events.,1,1,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4532218249987636,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1417,body_behavioural,3.0.4,59.93460954312745,
0,"Since they both had flights out of Boston at the same time, they had agreed to meet at the airport and talk about potentially doing business. ",1,1,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5533557800008566,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1417,body_behavioural,3.0.4,59.93460954312745,
0,"They headed to security together, pleased to find that the line was not so long, and they chatted a little as they were waiting. ",2,1,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4860885909984063,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1417,body_behavioural,3.0.4,59.93460954312745,
0,"“It’s crazy that we met last night,” William said, “I am flying out right now to meet my boss, and was worried that I was going to show up empty handed without any local retailer prepared.” ",2,1,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5840662730006443,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1417,body_behavioural,3.0.4,59.93460954312745,
0,"“I know, what are the chances, right?” Jeff said.",2,1,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5360025519985356,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1417,body_behavioural,3.0.4,59.93460954312745,
