count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,frameRate,
0,"I was going to wait until after this unfortunately-timed dinner party tonight to talk about this, but I might as well say it now: I don’t want to be in a relationship with you anymore.",2,2,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06837855699995998,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0," I’m tired of the constant fighting, and I feel like when we try to do anything fun anymore it ends up unpleasant for the stupidest reasons, and I am just past  trying to work things out.”",2,2,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06860876099995039,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"Liam refused to look at her as she picked out sauces for the pasta, and then she threw up her hands, saying, “You know what, if this party is still happening we are going to just eat pasta.”",2,2,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.05211140599999453,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,They headed to the checkout area where there was only one station open but it was not crowded at all.,3,2,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0017685079999409936,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,Emmanuella sighed and got in line while Liam pretended to be interested in the magazine racks as he thought. ,3,2,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03473222299999179,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"Finally he turned to her and sighed, “Yes, I was thinking the same thing - I think we could definitely be happier with other people.” ",3,3,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.01745767700003853,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"As if she hadn't heard him, Emmanuella looked at their cart and said, “I'm not sure this will be enough, could you grab another box of pasta?”",3,3,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03544957200006138,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0, Liam scoffed and walked off to quickly get it.,3,3,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03530913099996269,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"As Emmanuella waited in line, she took a moment to compose herself, deciding that there was no reason to continue making a scene in the store. ",3,3,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.00029124599996066536,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0," Right when Liam came back with the pasta, the cashier started scanning their groceries.",4,3,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05240448999995806,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"The cost came to $30, and Emmanuella paid with her credit card.",4,3,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.14215350699998908,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"She asked Liam politely to take the bags, and he obliged, following her to toward the exit. ",4,3,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1163180820000207,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"“Liam, I think we are making the right decision.",4,4,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.11819853399993008,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,This is good.” ,4,4,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.018440511999983755,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"“I agree,” he said, visibly relieved at the thought that they had gotten through the last fight they would ever need to have.",4,4,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0678421590000653,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"“I think we can still host this dinner tonight, as long as you're still on board,” Emmanuella said.",4,4,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0017419280000012805,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"Liam nodded, “Yes, let’s just not tell anyone yet.” ",4,4,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08439091100001406,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"Emmanuella laughed, “Whoever leaks it loses their rights to the cat.”",4,4,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0184087789999694,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,"Liam rolled his eyes and managed a weak chuckle, knowing the cat would be a whole other issue to sort out later.
",4,4,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03520547000005081,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8840398279999135,space,0.45196360099998856,space,0.5524222960000316,,,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"Jeff, hoping that today would be a pivotal day for his new business, had only been waiting inside the doors of the airport for a few minutes when he saw William and eagerly waved him over. ",1,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.38553013399996416,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"Jeff, checking his watch, was pleased to see that the two of them had two hours to discuss business before their flights left Boston.",1,1,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0851875390000032,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,The two had met the night before in line for the bathroom at a local bar. ,1,1,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.09969078099993567,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"Jeff had delivered some surprisingly-detailed complaints to William about the wine selection, and they quickly learned that Jeff was a representative for wine vineyards in the Northeast and William was a wine buyer for corporate events.",1,1,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.035455777000038324,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"Since they both had flights out of Boston at the same time, they had agreed to meet at the airport and talk about potentially doing business. ",1,1,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0016881369999737217,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"They headed to security together, pleased to find that the line was not so long, and they chatted a little as they were waiting. ",2,1,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.017460971999980757,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"“It’s crazy that we met last night,” William said, “I am flying out right now to meet my boss, and was worried that I was going to show up empty handed without any local retailer prepared.” ",2,1,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0017472870000574403,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"“I know, what are the chances, right?” Jeff said.",2,1,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0016756259999510803,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"William laughed and said, “I’m glad our shared complaining can come in handy.",2,1,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07278368699996918,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"I know this is fast, but I'd like to get right down to specifics.",2,2,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10181051500001104,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,I'd like to order a couple of sample shipments from you and present them to our corporate buyers.,2,2,,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0020701939999980823,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"Typically we expect to get these kinds of samples at a deep discount, at least half-off the label price.",2,2,,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.04087350400004652,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"This is nothing, okay, compared to what you will be making if one of these buyers makes a contract.",2,2,,,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.051917321000019,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,So I propose that you send us $600 worth of wine shipments for a price of $300.”,2,2,,,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.04015602200001922,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"When it was their turn to go through the metal detector, they took off their shoes and pulled out their laptops.",2,2,,,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13409144299998843,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"Jeff mulled over the offer, nodding noncommittally to William's pitch as they proceeded through the metal detector and retrieved their belongings.",2,2,,,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06863057299995035,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"They began to walk through the concourse, and William handed some printed spreadsheets to Jeff as they navigated toward their gates at the end of the terminal.",3,2,,,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.15137852099996962,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"Jeff, weaving through the crowds of travelers, squinted at William's rosy projections of the number of bottles he could be able to purchase in the future.",3,2,,,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03389375100005054,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"Finally Jeff said, “I don’t know, we’re not coming from corporate vineyards, so gambling with sample shipments is the kind of risk we can’t necessarily make. ",3,3,,,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0839944839999589,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"These corporate purchases would have to be huge and practically guaranteed, to offset the loss from selling sample shipments at this price.”",3,3,,,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05209795200005374,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"They walked to the gates very slowly, barely registering the hubbub of the airport since they were so caught up in figuring out this deal before their flights left.",3,3,,,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.11869218700007877,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"At the end of their long walk, they got to Jeff’s gate first, which had begun boarding passengers.",3,3,,,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.12055160999989312,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"In these last minutes, William and Jeff agreed on a compromise rate on the sample shipment, paying $400 for a $600 shipment, and they finalized the deal with a handshake. ",3,4,,,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10088079800004834,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"“Well, what a tremendous pleasure to do business with you and to have all this work out,” William said.",3,4,,,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0350089679999428,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"Jeff nodded enthusiastically, and responded, “Likewise, this has been great.  ",3,4,,,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05808143199999449,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,I'll let you get to your gate.,3,4,,,,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.034764238999969166,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"Once we’re both back on the ground, we can get all the shipments in the books.”",3,4,,,,0,1,1,1,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08401720900008058,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,They parted with a wave as Jeff scanned his boarding pass at the gate. ,3,4,,,,0,1,1,1,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1409315969999625,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,He walked onto the plane and sat down in his aisle seat in the business class section.,4,4,,,,0,1,1,1,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10191880700006095,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,He typed out a quick email on his phone letting the rest of his team know the good news. ,4,4,,,,0,1,1,1,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000714732999995249,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,"When the flight attendant came by, he ordered a glass of champagne to celebrate.",4,4,,,,0,1,1,1,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.05252842300001248,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
2,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5358469110000215,space,0.5184170219999942,space,0.402115235999986,,,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
2,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other and shook hands.",1,1,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3030417550000948,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
2,""Thank you again for inviting me here to discuss my business proposal," said Ms. Bianchi, “And it’s a pleasure to be out of the office." ",1,1,,,,0,2,2,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08613303599997835,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
2,"As a salesperson for an Italian cheese company that was trying to expand its outreach to more mainstream grocery stores, this meeting could be a big break for her.",1,1,,,,0,2,2,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06753527700004724,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
2,"Her sales target, Ms. Morrison,  who had a reputation for being a bit quirky, was a corporate buyer for a large chain grocery store. ",1,1,,,,0,2,2,2,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0006471120000242081,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
2,"She was known for doing things unconventionally: for example, she said that she liked to make deals with suppliers in the place where the products were sold- “to keep their minds focused on what’s important.” ",1,1,,,,0,2,2,2,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05156459399995583,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
2,"They chatted a little in the front of the grocery store, which was surrounded by pumpkins and halloween decorations set up in special displays for the holiday season.",1,1,,,,0,2,2,2,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.016700069000080475,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
2,"Ms. Bianchi and Ms. Morrison walked to the cheese section, and Ms. Morrison picked up a block of parmesan.",2,1,,,,0,2,2,2,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.017780821999963337,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
2,“We have quite a selection here.,2,1,,,,0,2,2,2,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.034857018000025164,,,,,,,,,,,,,,,,,,,,,alexandra3,001,2019_Feb_07_1557,body_behavioural,60.3564133119613,
