instruct_text,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,0.370304292999208,,,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.2696291459724307,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
There are 4 parts of the experiment. ,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.1530208500334993,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
1,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.11957215500297025,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.11963807098800316,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.1360827280441299,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",,,0,5,5,5,,,,,,,,,,,,,,,,,,,space,0.119630723958835,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
The 4 questions for each perspective are learned with quizzes. ,,,0,6,6,6,,,,,,,,,,,,,,,,,,,space,0.11923750501591712,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
2,,,0,7,7,7,,,,,,,,,,,,,,,,,,,space,0.13672562799183652,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
"In the second part of the experiment, you will read 8 short stories. ",,,0,8,8,8,,,,,,,,,,,,,,,,,,,space,0.10286459600320086,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16913813701830804,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,0,0,0,0,,,,,,,,,,,,,,,space,0.21973135200096294,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,0,1,1,1,,,,,,,,,,,,,,,space,0.15306658699410036,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
You must pass this quiz to move onto the story. ,,,,,,,0,2,2,2,,,,,,,,,,,,,,,space,0.11721746897092089,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
3,,,,,,,0,3,3,3,,,,,,,,,,,,,,,space,0.10259302100166678,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43617816595360637,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.11953511898173019,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
4,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.35281814297195524,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,60.05137297754341,
