count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,"“Look, Sadie, I’ve been thinking, and I need to figure out some stuff… on my own.”",2,2,None,None,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,1,0.05099527596030384,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"Sadie’s mouth popped open for a moment, then she swallowed and shifted back in her seat.",2,2,None,None,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,9,0.0003258039942011237,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,“Things have been really picking up at work.,2,2,None,None,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,9,0.10093048599082977,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,And I’m not sure that this is the job I want to do anymore.,2,2,None,None,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,9,0.11729173397179693,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,It’s been really overwhelming between working and figuring out if I should change careers.” ,2,2,17.0,None,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,1,0.0017551810014992952,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,The waiter appeared and interrupted the speech Thomas had been practicing.,3,2,None,None,,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,,,9,0.06721780693624169,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,“Hello you two!,3,2,None,None,,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,,,,,1,0.06835905509069562,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,Have you decided what you would like?”,3,2,None,None,,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,,,,,,9,0.03617442899849266,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"Thomas and Sadie realized there were menus on the table, and they glanced at the lengthy list quickly.",3,2,None,None,,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,,,,,1,0.06833616399671882,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"There were so many strange dishes they had never heard of before, so they settled on familiar orders.",3,2,None,None,,0,0,0,0,0,30,30,30,,,,,,,,,,,,,,,,,,,9,0.0018740909872576594,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"“I’ll have a burger, no tomatoes,” Thomas said.",3,2,None,None,,0,0,0,0,0,31,31,31,,,,,,,,,,,,,,,,,,,9,0.13699012005236,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"Sadie asked about the reuben, and the waiter told her it was excellent.",3,2,None,None,,0,0,0,0,0,32,32,32,,,,,,,,,,,,,,,,,,,1,0.13489551888778806,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0," Once she agreed to get that, he walked away. ",3,2,None,None,,0,0,0,0,0,33,33,33,,,,,,,,,,,,,,,,,,,9,0.13360386004205793,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,Sadie and Thomas looked at each other. ,3,2,None,None,,0,0,0,0,0,34,34,34,,,,,,,,,,,,,,,,,,,9,0.1342122689820826,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,“So what are you saying?” Sadie asked. ,3,2,None,None,,0,0,0,0,0,35,35,35,,,,,,,,,,,,,,,,,,,1,0.018208701047115028,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"Thomas replied, “I want to take a break for awhile.",3,2,None,None,,0,0,0,0,0,36,36,36,,,,,,,,,,,,,,,,,,,9,0.08477051893714815,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"You know, take space to figure out what I’m supposed to be doing.”",3,2,None,17.0,,0,0,0,0,0,37,37,37,,,,,,,,,,,,,,,,,,,1,0.050891676102764904,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,Sadie quietly burst into tears. ,3,3,None,None,,0,0,0,0,0,38,38,38,,,,,,,,,,,,,,,,,,,9,0.05152603308670223,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"Nevertheless, people sitting at the adjacent table looked over, and then averted their gaze as they realized what was happening. ",3,3,None,None,,0,0,0,0,0,39,39,39,,,,,,,,,,,,,,,,,,,1,0.05140890891198069,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,“Is this really what you want?,3,3,None,None,,0,0,0,0,0,40,40,40,,,,,,,,,,,,,,,,,,,9,0.16852879896759987,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,I don’t understand.,3,3,None,None,,0,0,0,0,0,41,41,41,,,,,,,,,,,,,,,,,,,9,0.15314243198372424,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,I don’t understand.,3,3,None,None,,0,0,0,0,0,42,42,42,,,,,,,,,,,,,,,,,,,9,0.11908069404307753,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,Things were fine. ,3,3,None,None,,0,0,0,0,0,43,43,43,,,,,,,,,,,,,,,,,,,9,0.13496058899909258,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"We don’t have to hang out all the time, or as much as we do now.”",3,3,None,None,,0,0,0,0,0,44,44,44,,,,,,,,,,,,,,,,,,,1,0.00031638401560485363,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,Thomas chewed on his bottom lip and picked at his now bleeding hangnail. ,3,3,20.0,None,,0,0,0,0,0,45,45,45,,,,,,,,,,,,,,,,,,,9,0.10156074294354767,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"At that moment, the waiter arrived with the burger and reuben, and set them on the table.",4,3,None,None,,0,0,0,0,0,46,46,46,,,,,,,,,,,,,,,,,,,1,0.0017152429791167378,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0, “Is there anything else I can get for you two?,4,3,None,None,,0,0,0,0,0,47,47,47,,,,,,,,,,,,,,,,,,,9,0.08501688297837973,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,Will you be getting desserts tonight?” he asked.,4,3,None,None,,0,0,0,0,0,48,48,48,,,,,,,,,,,,,,,,,,,1,0.0678876000456512,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"“Oh no, we’re good, thanks.” Thomas said.",4,3,None,None,,0,0,0,0,0,49,49,49,,,,,,,,,,,,,,,,,,,9,0.03455127601046115,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"Once the waiter had quickly walked away, Thomas sighed and said, “Sadie, I’m sorry.",4,3,None,None,,0,0,0,0,0,50,50,50,,,,,,,,,,,,,,,,,,,1,0.10132217698264867,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"You are so great, and I love hanging out with you.",4,3,None,None,,0,0,0,0,0,51,51,51,,,,,,,,,,,,,,,,,,,9,0.1171027390519157,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"But I need some time, I’m so sorry.”",4,3,None,None,,0,0,0,0,0,52,52,52,,,,,,,,,,,,,,,,,,,9,0.13479097199160606,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"He grabbed her hand, and she pulled it out of his.",4,3,None,None,,0,0,0,0,0,53,53,53,,,,,,,,,,,,,,,,,,,1,0.034370805020444095,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"“Sadie,” he said.",4,3,None,17.0,,0,0,0,0,0,54,54,54,,,,,,,,,,,,,,,,,,,9,0.06877131399232894,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0," She stood up, grabbed half the reuben, and shook it at him as she growled, “Don’t follow me and don’t talk to me anymore.”",4,4,None,None,,0,0,0,0,0,55,55,55,,,,,,,,,,,,,,,,,,,1,0.03530894499272108,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"Sadie's heels clacked loudly against the black and white linoleum, and the bell above the door jingled cheerfully as the door closed behind her.",4,4,None,None,,0,0,0,0,0,56,56,56,,,,,,,,,,,,,,,,,,,9,0.019075260031968355,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"Thomas sat there for awhile, in shock at how quickly everything transpired. ",4,4,None,None,,0,0,0,0,0,57,57,57,,,,,,,,,,,,,,,,,,,1,0.08647557196673006,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"He grabbed his burger, and took a bite of it, but it tasted dry and fishy.",4,4,None,None,,0,0,0,0,0,58,58,58,,,,,,,,,,,,,,,,,,,9,0.1366206449456513,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
