count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,43,,,,,0,0,0,0,0,0,0,0,[43 21 44 31 22 32 13 14 34 11 24 33 42 12 41 23],"['Social' 'Location' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Social' 'Location' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Social' 'Location']",1,1.342401726054959,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
0,Grocery Shopping Meet Cute,,,,,0,0,0,0,0,1,1,1,,,9,0.13738748605828732,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
0,,,,,,0,0,0,0,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
1,21,,,,,0,1,1,1,0,0,0,0,,,1,0.4187438810477033,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
1,Restaurant Proposal,,,,,0,1,1,1,0,1,1,1,,,9,0.051275019999593496,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
1,,,,,,0,1,1,1,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
2,44,,,,,0,2,2,2,0,0,0,0,,,1,1.5514228790998459,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
2,Attending a Lecture Meet Cute,,,,,0,2,2,2,0,1,1,1,,,9,0.0850763829657808,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
2,,,,,,0,2,2,2,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
3,31,,,,,0,3,3,3,0,0,0,0,,,1,0.3850197889842093,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
3,Restaurant Business Deal,,,,,0,3,3,3,0,1,1,1,,,9,0.0515632739989087,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
3,,,,,,0,3,3,3,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
4,22,,,,,0,4,4,4,0,0,0,0,,,1,0.4512216050643474,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
4,Airport Proposal,,,,,0,4,4,4,0,1,1,1,,,9,0.0016431340482085943,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
4,,,,,,0,4,4,4,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
5,32,,,,,0,5,5,5,0,0,0,0,,,1,0.501801555044949,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
5,Airport Business Deal,,,,,0,5,5,5,0,1,1,1,,,9,0.06927684205584228,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
5,,,,,,0,5,5,5,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
6,13,,,,,0,6,6,6,0,0,0,0,,,9,1.0847078299848363,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
6,Grocery Shopping Breakup,,,,,0,6,6,6,0,1,1,1,,,1,0.8853325549280271,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
6,,,,,,0,6,6,6,,,,,,,,,',001,2019_Jan_15_1252,body_behavioural,60.20437733493093,
