instruct_text,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6373672659974545,,,,,,,,,,,',001,2019_Jun_13_1219,part1_subjective_segmentation,3.0.4,60.000350882488554,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,1.7368807950406335,,,,,,,,,',001,2019_Jun_13_1219,part1_subjective_segmentation,3.0.4,60.000350882488554,
There are 4 parts of the experiment. ,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,1.6029330299934372,,,,,,,,,',001,2019_Jun_13_1219,part1_subjective_segmentation,3.0.4,60.000350882488554,
1,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,space,0.41917999397264794,,,,,,,,,',001,2019_Jun_13_1219,part1_subjective_segmentation,3.0.4,60.000350882488554,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,space,1.6358316040132195,,,,,,,,,',001,2019_Jun_13_1219,part1_subjective_segmentation,3.0.4,60.000350882488554,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,space,0.5860329669667408,,,,,,,,,',001,2019_Jun_13_1219,part1_subjective_segmentation,3.0.4,60.000350882488554,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,space,0.26867547299480066,,,,,,,,,',001,2019_Jun_13_1219,part1_subjective_segmentation,3.0.4,60.000350882488554,
The 4 questions for each perspective are learned with quizzes. ,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,space,0.13636920700082555,,,,,,,,,',001,2019_Jun_13_1219,part1_subjective_segmentation,3.0.4,60.000350882488554,
2,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,space,0.11923333897721022,,,,,,,,,',001,2019_Jun_13_1219,part1_subjective_segmentation,3.0.4,60.000350882488554,
"In the second part of the experiment, you will read 8 short stories. ",,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,space,0.11949295696103945,,,,,,,,,',001,2019_Jun_13_1219,part1_subjective_segmentation,3.0.4,60.000350882488554,
