count,storyText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,23,0,0,0,0,0,0,0,0,[23 41 34 24 42 33 12 11 21 44 32 13 31 43 22 14],"['Location' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Social' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Location']",space,0.9183588629821315,space,0.6175703869666904,,001,2019_Jan_02_1536,body_updated,60.0419248903533,
0,Grocery shopping Proposal,0,0,0,0,0,1,1,1,,,,,space,1.1202109060250223,,001,2019_Jan_02_1536,body_updated,60.0419248903533,
0,,0,0,0,0,,,,,,,,,,,,001,2019_Jan_02_1536,body_updated,60.0419248903533,
,,,,,,,,,,,,space,0.685891374014318,,,,,,,,
