instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,0.8055353550007567,,,,,,,',001,2019_Jun_20_1257,part1_subjective_segmentation,3.0.4,59.95614435864114,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,space,2.0208507600000303,,,,,',001,2019_Jun_20_1257,part1_subjective_segmentation,3.0.4,59.95614435864114,
"There are 4 parts of the experiment, and, before you begin, we'll give you a brief overview of all the parts. ",0,1,1,1,,,space,3.7365065300000424,,,,,',001,2019_Jun_20_1257,part1_subjective_segmentation,3.0.4,59.95614435864114,
1,0,2,2,2,,,space,0.486643077001645,,,,,',001,2019_Jun_20_1257,part1_subjective_segmentation,3.0.4,59.95614435864114,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,3,3,3,,,space,1.1026817730016774,,,,,',001,2019_Jun_20_1257,part1_subjective_segmentation,3.0.4,59.95614435864114,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",0,4,4,4,,,space,2.4530360200005816,,,,,',001,2019_Jun_20_1257,part1_subjective_segmentation,3.0.4,59.95614435864114,
,,,,,,,,,space,5.585671053999249,,,',001,2019_Jun_20_1257,part1_subjective_segmentation,3.0.4,59.95614435864114,
,,,,,,,,,,,space,4.685745623999537,',001,2019_Jun_20_1257,part1_subjective_segmentation,3.0.4,59.95614435864114,
