count,storyText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,41,0,0,0,0,0,0,0,0,[41 42 11 12 24 23 33 34 21 14 32 44 22 43 13 31],"['Social' 'Location' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Social' 'Location' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Social']",space,12.873911920003593,space,7.086092844023369,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
0,Restaurant Meet Cute,0,0,0,0,0,1,1,1,,,,,space,4.3178476160392165,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
0,,0,0,0,0,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
1,42,0,1,1,1,0,0,0,0,,,space,4.453968954039738,space,6.970476035028696,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
1,Airport Meet Cute,0,1,1,1,0,1,1,1,,,,,space,5.186488740029745,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
1,,0,1,1,1,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
2,11,0,2,2,2,0,0,0,0,,,space,5.2548714050790295,space,6.43557279300876,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
2,Restaurant- Breakup,0,2,2,2,0,1,1,1,,,,,space,3.535508295055479,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
2,,0,2,2,2,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
3,12,0,3,3,3,0,0,0,0,,,space,10.305309067945927,space,6.9036808389937505,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
3,Airport Breakup,0,3,3,3,0,1,1,1,,,,,space,4.453455709037371,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
3,,0,3,3,3,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
4,24,0,4,4,4,0,0,0,0,,,space,30.077304559061304,space,7.920074254041538,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
4,Attending a Lecture Proposal,0,4,4,4,0,1,1,1,,,,,space,22.91004064900335,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
4,,0,4,4,4,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
5,23,0,5,5,5,0,0,0,0,,,space,6.687331807916053,space,8.838441249914467,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
5,Grocery shopping Proposal,0,5,5,5,0,1,1,1,,,,,space,5.252985951025039,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
5,,0,5,5,5,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
6,33,0,6,6,6,0,0,0,0,,,space,5.285762329935096,space,7.0869801400695,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
6,Grocery Shopping Business Deal,0,6,6,6,0,1,1,1,,,,,space,5.886839543003589,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
6,,0,6,6,6,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
7,34,0,7,7,7,0,0,0,0,,,space,8.504080918966793,space,6.38897786301095,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
7,Attending a Lecture Business Deal,0,7,7,7,0,1,1,1,,,,,space,6.519312844029628,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
7,,0,7,7,7,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
8,21,0,8,8,8,0,0,0,0,,,space,25.910104155074805,space,8.605523547972552,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
8,Restaurant Proposal,0,8,8,8,0,1,1,1,,,,,space,3.119745822972618,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
8,,0,8,8,8,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
9,14,0,9,9,9,0,0,0,0,,,space,12.055180571973324,space,7.12139725999441,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
9,Attending a Lecture Breakup,0,9,9,9,0,1,1,1,,,,,space,3.7362277900101617,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
9,,0,9,9,9,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
10,32,0,10,10,10,0,0,0,0,,,space,9.488993808976375,space,8.388679644092917,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
10,Airport Business Deal,0,10,10,10,0,1,1,1,,,,,space,8.771895869984291,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
10,,0,10,10,10,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
11,44,0,11,11,11,0,0,0,0,,,space,7.070419967058115,space,8.304221534053795,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
11,Attending a Lecture Meet Cute,0,11,11,11,0,1,1,1,,,,,space,7.402779635973275,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
11,,0,11,11,11,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
12,22,0,12,12,12,0,0,0,0,,,space,9.35442788398359,space,6.771567090996541,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
12,Airport Proposal,0,12,12,12,0,1,1,1,,,,,space,13.153707260033116,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
12,,0,12,12,12,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
13,43,0,13,13,13,0,0,0,0,,,space,8.038257668958977,space,9.303887055022642,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
13,Grocery Shopping Meet Cute,0,13,13,13,0,1,1,1,,,,,space,9.271716105053201,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
13,,0,13,13,13,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
14,13,0,14,14,14,0,0,0,0,,,space,7.753767465939745,space,7.639330448000692,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
14,Grocery Shopping Breakup,0,14,14,14,0,1,1,1,,,,,space,2.9845808959798887,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
14,,0,14,14,14,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
15,31,0,15,15,15,0,0,0,0,,,space,13.822130945976824,space,15.273021088913083,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
15,Restaurant Business Deal,0,15,15,15,0,1,1,1,,,,,space,7.338303413940594,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
15,,0,15,15,15,,,,,,,,,,,17,001,2019_Jan_02_1657,body_updated,59.91970044692938,
