count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instructText,order of stories,order of perspectives,key_resp_5.keys,story_presses.keys,participant,session,date,expName,frameRate,
0,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately as she attempted to walk into the restaurant. ",1,1,0,0,0,0,0,0,0,0,,,,,,[41 44 13 23 31 22 12 34 11 32 24 14 43 21 42 33],"['Location' 'Social' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Location'
 'Social' 'Social']",None,None,',001,2019_Jan_25_1150,body_behavioural,59.94298546929071,
0,,,,0,0,0,0,,,,,,,,,,,,,,',001,2019_Jan_25_1150,body_behavioural,59.94298546929071,
