count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,story_presses.keys,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe, hoping that she wouldn't suspect that he was about to propose. ",1,1,,0,0,0,0,0,0,0,0,,,,,,,,,[23 44 14 41 32 11 33 22 13 42 43 34 12 31 24 21],"['Social' 'Social' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Location' 'Social']",None,,,,001,2019_Jan_22_1333,body_behavioural,60.37600426267113,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1333,body_behavioural,60.37600426267113,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,space,0.6019178360002115,,001,2019_Jan_22_1333,body_behavioural,60.37600426267113,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,space,0.18497079203370959,,001,2019_Jan_22_1333,body_behavioural,60.37600426267113,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,space,0.16748188401106745,,001,2019_Jan_22_1333,body_behavioural,60.37600426267113,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,space,0.11835532099939883,,001,2019_Jan_22_1333,body_behavioural,60.37600426267113,
,,,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,space,0.15131518908310682,,001,2019_Jan_22_1333,body_behavioural,60.37600426267113,
