count,storyText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,11,0,0,0,0,0,0,0,0,[11 33 24 12 42 34 41 23 21 22 13 14 43 44 31 32],"['Location' 'Social' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Location']",space,0.5523303399095312,space,0.601870093960315,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
0,Restaurant- Breakup,0,0,0,0,0,1,1,1,,,,,space,0.5353025170043111,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
0,,0,0,0,0,,,,,,,,,,,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
1,33,0,1,1,1,0,0,0,0,,,space,0.4172713509760797,space,0.36880883295089006,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
1,Grocery Shopping Business Deal,0,1,1,1,0,1,1,1,,,,,space,0.35086839797440916,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
1,,0,1,1,1,,,,,,,,,,,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
2,24,0,2,2,2,0,0,0,0,,,space,0.3854169559199363,space,0.3854512620018795,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
2,Attending a Lecture Proposal,0,2,2,2,0,1,1,1,,,,,space,0.38654299604240805,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
2,,0,2,2,2,,,,,,,,,,,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
3,12,0,3,3,3,0,0,0,0,,,space,0.41794836102053523,space,0.38533073698636144,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
3,Airport Breakup,0,3,3,3,0,1,1,1,,,,,space,0.3351356340572238,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
3,,0,3,3,3,,,,,,,,,,,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
4,42,0,4,4,4,0,0,0,0,,,space,0.40097047900781035,space,0.3512798600131646,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
4,Airport Meet Cute,0,4,4,4,0,1,1,1,,,,,space,0.36780914501287043,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
4,,0,4,4,4,,,,,,,,,,,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
5,34,0,5,5,5,0,0,0,0,,,space,0.3855503520462662,space,0.4357151750009507,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
5,Attending a Lecture Business Deal,0,5,5,5,0,1,1,1,,,,,space,0.517908949055709,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
5,,0,5,5,5,,,,,,,,,,,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
6,41,0,6,6,6,0,0,0,0,,,space,0.4682945340173319,space,0.452196057070978,1,001,2019_Jan_02_1538,body_updated,59.73788662838912,
