count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,order of stories,order of perspectives,from whom,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,"A few tears started to fall down his cheeks as he whispered back, “Maria, I think we can make it work.",3,3,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,9,0.00311900999986392,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
0,I’ll come visit you.,3,3,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,9,0.1365052179999111,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
0,It will be fine.,3,3,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,None,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,space,0.43535627399978694,space,0.30297283699974287,space,0.5361407519999375,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
1,"Simon and Carina noticed each other as they walked into the grocery store at the same time, their carts nearly colliding as they squeezed into the entrance.",1,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,None,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
2,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,space,0.40301248200012196,space,0.4027404849998675,space,0.436675545000071,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
2,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe; he was hoping that she wouldn't suspect that he was about to propose.",1,1,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,None,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
3,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,space,0.5357395159999214,space,0.35254298000018025,space,0.353147017000083,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
3,Charlie saw Alma as they walked into class and he motioned for her to come sit in the back next to him: they had business to discuss.,1,1,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,None,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
3,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
4,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,space,0.33633633499994176,space,0.4030175530001543,space,0.5532374599997638,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
4,Mr. Shelton and Mr. Gordon shook hands inside the foyer of the restaurant: lunch today was about big business. ,1,1,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,None,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
4,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
5,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,space,0.4030744900001082,space,0.30220522399986294,space,0.7526832879998437,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
5,"Thomas, dreading the conversation he was about to have, got to Annika’s Finer Diner early.",1,1,None,None,,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,None,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
5,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
6,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,space,0.21975580299977082,space,0.43472859600024094,space,0.21921768499987593,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
6,David saw Anna for the first time when she burst into the airport with her bag skidding behind her half-zipped. ,1,1,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,None,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
6,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.10378738700001,space,0.2366434420000587,,,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,space,1.452719476999846,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,space,0.4194423139997525,mango,001,2019_Feb_21_1209,body_behavioural,3.0.4,60.151735640456984,
