count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,12,,0,0,0,0,0,0,0,0,,,,,,,,,[12 22 44 41 34 13 23 31 11 14 21 42 24 43 33 32],"['Location' 'Social' 'Social' 'Location' 'Location' 'Social' 'Location'
 'Social' 'Location' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Social']",1,2.868566054967232,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
0,Airport Breakup,,0,0,0,0,0,1,1,1,,,,,,,,,,,9,1.2181871900102124,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
1,22,,0,1,1,1,0,0,0,0,,,,,,,,,,,9,1.4029168089618906,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
1,Airport Proposal,,0,1,1,1,0,1,1,1,,,,,,,,,,,1,1.1020489119691774,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
2,44,,0,2,2,2,0,0,0,0,,,,,,,,,,,1,1.8703847069991753,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
2,Attending a Lecture Meet Cute,,0,2,2,2,0,1,1,1,,,,,,,,,,,9,0.38558667607139796,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
2,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,space,22.091070343973115,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,space,2.6033593819011003,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,space,2.451199169969186,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,space,7.421710122958757,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,space,1.1183007720392197,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,001,2019_Jan_10_1354,body_behavioural,60.25446157926265,
