instruct_text,this_pic,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,space,24.72460090299137,,,',001,2019_Jun_10_1220,part1_subjective_segmentation,3.0.4,60.195711180943924,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,0,0,0,0,,,space,1.2856188919977285,',001,2019_Jun_10_1220,part1_subjective_segmentation,3.0.4,60.195711180943924,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,0,1,1,1,,,space,86.74077333102468,',001,2019_Jun_10_1220,part1_subjective_segmentation,3.0.4,60.195711180943924,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,0,2,2,2,,,space,8.954225271998439,',001,2019_Jun_10_1220,part1_subjective_segmentation,3.0.4,60.195711180943924,
