count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,Lana gasped and put her other hand to her mouth and started looking around the room as if trying to convince herself that this was really happening.,3,3,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,1,0.15358237500186078,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
0,For a few moments everyone was in suspense waiting for the Lana’s shock to wear off and for her to answer. ,3,3,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,9,0.2697350349990302,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
0,"Finally, she said, “Yes!”",3,4,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,1,0.11736159000065527,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
0,"Aaron put the ring on her finger, and they hugged while the whole class clapped. ",3,4,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,9,0.06974929500211147,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
0,"Their friends came up and hugged both of them, and the professor gave Aaron a celebratory handshake.",3,4,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,1,0.15230019000227912,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
0,"They made their way back to their seats, Lana and Aaron hand-in-hand and beaming. ",3,4,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,9,0.11979530499957036,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
0,"The professor then dismissed the class, saying, “That was enough excitement for today!",4,4,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,1,0.13619552199816098,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
0,Don’t forget there’s an exam next week on the first two chapters of the textbook.”,4,4,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,9,0.11732050700084073,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
0,"As everyone was packing up their notebooks and leaving, Lana was already on her phone calling her family members to tell them the exciting news.",4,4,,,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,1,0.1363606949998939,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_28_1356,body_behavioural,3.0.4,60.1008282755583,
