count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,story_presses.keys,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately as she attempted to walk into the restaurant. ",1,1,,0,0,0,0,0,0,0,0,,,,,,,,,[41 34 23 21 14 43 12 32 11 33 44 13 31 42 24 22],"['Location' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Social' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Social']",None,,,,001,2019_Jan_22_1327,body_behavioural,60.38665976710667,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1327,body_behavioural,60.38665976710667,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,space,0.7187404639553279,,001,2019_Jan_22_1327,body_behavioural,60.38665976710667,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,space,0.4852962129516527,,001,2019_Jan_22_1327,body_behavioural,60.38665976710667,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,space,0.45181356195826083,,001,2019_Jan_22_1327,body_behavioural,60.38665976710667,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,space,0.4025208140956238,,001,2019_Jan_22_1327,body_behavioural,60.38665976710667,
,,,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,space,0.4344492609379813,,001,2019_Jan_22_1327,body_behavioural,60.38665976710667,
