count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[12 34 13 22 31 23 44 41 32 21 33 43 24 42 11 14],"['Location' 'Social' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Social' 'Location' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Social']",[32 21 33 43 24 42 11 14],"['Location' 'Social' 'Social' 'Location' 'Location' 'Social' 'Location'
 'Social']",space,0.3337831850001294,space,0.35133198200014704,space,0.4193355149998297,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
0,"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end things with him.",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,space,0.900550419999945,space,0.469533384999977,space,0.40299569699982385,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
1,Charlie saw Alma as they walked into class and he motioned for her to come sit in the back next to him: they had business to discuss.,1,1,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
2,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,space,0.2694539799999802,space,0.4532141349995982,space,0.4525396849999197,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
2,The grocery store was not the place Emmanuella and Liam wanted to be at the moment considering they had been fighting beforehand to the point where Emmanuella was thinking of breaking up with Liam.,1,1,,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
3,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,space,0.2524480150000272,space,0.40297341299992695,space,0.47001274000012927,,,,,,,,,,',001,2019_Feb_21_1149,body_behavioural,3.0.4,59.94854676180003,
