count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
5,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other with a handshake.",1.0,1.0,33.0,,,,,,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1525077500846237,space,0.302889266051352,None,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
5,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
6,,,,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,0.3031658699037507,None,,space,0.43676839501131326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
6,The grocery store was not the place Emmanuella and Liam wanted to be at the moment considering that they had been fighting to the point where Emmanuella was thinking of breaking up with Liam.,1.0,1.0,13.0,,,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4691315450472757,space,0.30054258299060166,None,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
6,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.712438978953287,space,0.23611599206924438,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3026988449273631,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2528603710234165,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.23590540792793036,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1859074840322137,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3690340870525688,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1841133419657126,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1693511470220983,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.267121254932135,space,1.9861073170322925,,,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,"In this last part of the experiment, please answer 8 questions about each story.",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4859473520191386,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5526141499867663,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,"We realize that we did not tell you to think of these questions during the story, but please do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3028245290042832,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3029572309460491,,,,,,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18624326901044697,,,primed first,,,,,,,,',001,2019_Jun_16_2011,body_behavioural,3.0.4,59.99331795063615,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7859527550172061,,,primed first,,,,,,,,,,,,,,
