count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,The security guard gasped.,2,3,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,1,0.18399188295006752,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0, All the people who were putting their shoes back on and gathering their belongings stopped what they were doing and walked closer to the couple.,2,3,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,1,0.1362548389006406,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0," Isabel was astonished, and far too shy to respond in front of the backup of passengers waiting behind them.",2,3,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,1,0.2023448320105672,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"She attempted to stammer a response as she frantically grabbed her and Sven’s shoes, leaving Sven to retrieve their bags.",2,3,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,1,0.6680394239956513,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"Both of them slipping in their socked feet, she fled onto the concourse with Sven trying to catch up behind her.",3,3,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,9,0.3343059601029381,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"Everyone in the terminal was looking at them with confusion as Sven, holding the bags in one hand and the open ring box in the other, finally caught up to her.",3,3,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,1,0.06814489501994103,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"“Well, Isabel?”",3,3,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,9,0.10204661695752293,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"He watched her face as she turned, trying to read her expression.",3,3,,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,,,,,1,0.051159282913431525,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"Her eyes were wide, but she was smiling as she hyperventilated. ",3,3,,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,,,,,,,9,0.06912759598344564,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"“Of course yes, Sven, yes!” ",3,4,,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,,,,,,,,1,55.28606968396343,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
