count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,storyEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,frameRate,
0,"When it was their turn to go through the metal detector, they took off their shoes and pulled out their laptops.",2,2,,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.016972119999991264,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
0,"Jeff mulled over the offer, nodding noncommittally to William's pitch as they proceeded through the metal detector and retrieved their belongings.",2,2,,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0857920580000382,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
0,"They began to walk through the concourse, and William handed some printed spreadsheets to Jeff as they navigated toward their gates at the end of the terminal.",3,2,,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.13546085299992683,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
0,"Jeff, weaving through the crowds of travelers, squinted at William's rosy projections of the number of bottles he could be able to purchase in the future.",3,2,,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10106342200003837,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
0,"Finally Jeff said, “I don’t know, we’re not coming from corporate vineyards, so gambling with sample shipments is the kind of risk we can’t necessarily make. ",3,3,,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0017947899999626316,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
0,"These corporate purchases would have to be huge and practically guaranteed, to offset the loss from selling sample shipments at this price.”",3,3,,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03389829900004315,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
0,"They walked to the gates very slowly, barely registering the hubbub of the airport since they were so caught up in figuring out this deal before their flights left.",3,3,,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05063503700000638,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
0,"At the end of their long walk, they got to Jeff’s gate first, which had begun boarding passengers.",3,3,,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.034207174000016494,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
0,"In these last minutes, William and Jeff agreed on a compromise rate on the sample shipment, paying $400 for a $600 shipment, and they finalized the deal with a handshake. ",3,4,,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06609042700006285,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
0,"“Well, what a tremendous pleasure to do business with you and to have all this work out,” William said.",3,4,,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0017595340000298165,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
