instruct_text,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),0,0,0,0,space,1.8403407060104655,,001,2019_Feb_04_1555,part1_subjective_segmentation,59.98421695171731,
"In this task, you first be introduced to the perspectives of 8 different jobs. ",None,0,1,1,1,space,4.087197175002075,,001,2019_Feb_04_1555,part1_subjective_segmentation,59.98421695171731,
