count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
12,Grocery Shopping Business Deal,,0,12,12,12,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.21834706608206034,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
12,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
13,43,,0,13,13,13,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.28558655898086727,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
13,Grocery Shopping Meet Cute,,0,13,13,13,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.21833057096228004,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
13,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
14,22,,0,14,14,14,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.23515192000195384,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
14,Airport Proposal,,0,14,14,14,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.2177193689858541,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
14,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
15,11,,0,15,15,15,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.2510313290404156,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
15,Restaurant- Breakup,,0,15,15,15,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.21902473003137857,,,,,,,,,001,2019_Jan_15_1210,body_behavioural,60.353796748869094,
