count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instructText,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,[13 42 22 11 24 31 44 33 12 43 41 34 32 21 14 23],"['Social' 'Location' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Location' 'Location' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Social' 'Location']",[12 43 41 34 32 21 14 23],"['Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location']",space,0.27196008800001437,space,0.5185211110001546,,, ,001,2019_Feb_06_1058,body_behavioural,59.6238512483475,
0,The grocery store was not the place Emmanuella and Liam wanted to be at the moment considering they had been fighting beforehand to the point where Emmanuella was thinking of breaking up with Liam.,1,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,1,4.002842680999493, ,001,2019_Feb_06_1058,body_behavioural,59.6238512483475,
0,"However, they had to go grocery shopping because they were hosting a dinner party for friends that evening and had no groceries. ",1,1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,None,, ,001,2019_Feb_06_1058,body_behavioural,59.6238512483475,
0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,, ,001,2019_Feb_06_1058,body_behavioural,59.6238512483475,
