count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instructText,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,participant,session,date,expName,frameRate,
0,"Calvin and Jessie were running late to the airport, and Jessie was fuming at Calvin and ready to end things with him.",1,1,0,0,0,0,0,0,0,0,,,,,,[12 31 44 41 13 34 22 23 32 42 11 21 43 14 24 33],"['Location' 'Location' 'Location' 'Social' 'Social' 'Social' 'Social'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Social' 'Location']",space,0.6070346189662814,None,',001,2019_Jan_22_1406,body_behavioural,60.15316743284622,
0,,,,0,0,0,0,,,,,,,,,,,,,,,',001,2019_Jan_22_1406,body_behavioural,60.15316743284622,
