count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,"He said, “Mr. Shelton, I think that you make a compelling offer, but there are definitely some disadvantages to attaching our small, streamlined productions to a large company like yours.",3,3,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,1,0.10230877100002544,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,"We operate in a very different way than a large company, and the kind of administrative complexity that makes the scale of your productions possible would suffocate our business.",3,3,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,9,0.0668004920007661,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,"With our product, scaling-up doesn’t necessarily make sense.” ",3,3,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,1,0.0019349049998709233,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,Mr. Shelton had expected this response and had come prepared.,3,3,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,9,0.08487790199978917,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,He began laying out the details of how he had handled similar acquisitions successfully in the past.,3,3,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,1,0.001774767000824795,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,"Mr. Gordon was impressed, and they went back and forth hashing out what the company configuration would look like post-merger. ",3,3,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,9,0.01811745299892209,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,"The waitress brought the food out, interrupting their animated conversation.",4,3,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,1,0.08422486500057857,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,“Oh this looks so good!” Mr. Gordon said. ,4,3,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,9,0.0002826849995472003,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0, “Can I get you anything else?” the waitress asked.,4,3,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,9,0.11787841799923626,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,They declined and continued to talk.,4,3,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,9,0.14994672000102582,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
0,"The meal lived up to the reputation of the restaurant, which was known for having the best cuts of meat in the area.",4,3,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,1,0.0002663409995875554,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
